descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"ABACAXI EM CALDA",7260086,30,VENCEU,UND,325.8,10.86
"ACUCAR CRISTAL",7260087,50,PERDEU,KG,354.5,7.09
"AÇUCAR DE CONFEITEIRO",7260088,25,PERDEU,KG,0,0
"ACUCAR REFINADO",7260089,1500,PERDEU,KG,11835,7.89
"AMEIXA PRETA SECA SEM CAROÇO",7260090,20,PERDEU,UND,0,0
"AMENDOIM TORRADO E MOÍDO",7260091,50,VENCEU,KG,872,17.44
"AMIDO DE MILHO",7260092,250,VENCEU,KG,2095,8.38
"Arroz parboilizado",7260093,500,VENCEU,KG,1945,3.89
"AVEIA EM FLOCOS FINOS",7260094,70,VENCEU,KG,1222.2,17.46
"BALA DE GOMA CONFEITADA",7260095,100,PERDEU,PCT,0,0
"BALA MASTIGAVEL sabor iogurte",7260096,100,PERDEU,PCT,0,0
"BARRA DE CEREAIS",7260097,500,VENCEU,UND,1640,3.28
"BARRINHAS DE BANANA, SEM ADIÇÃO DE AÇÚCAR, 18 A 20 G - NA CENTRAL",7260098,100,VENCEU,KG,1819,18.19
"BICARBONATO DE SODIO",7260099,20,PERDEU,KG,205.6,10.28
"BISCOITO MARIA AVEIA E MEL - SEM LACTOSE - NA CENTRAL",7260100,500,PERDEU,KG,10825,21.65
"BISCOITO MARIA, SEM LEITE",7260101,500,PERDEU,KG,9350,18.7
"BISCOITO ROSQUINHA DE COCO, SEM LEITE",7260102,500,PERDEU,KG,10460,20.92
"BISCOITO ROSQUINHA DE MILHO, SEM LACTOSE",7260103,500,PERDEU,KG,10305,20.61
"BISCOITO SALGADO.",7260104,500,PERDEU,PCT,1910,3.82
"BOMBOM COBERTO COM CHOCOLATE",7260105,100,PERDEU,KG,0,0
"BOMBOM COBERTO COM CHOCOLATE BRANCO",7260106,100,PERDEU,KG,0,0
"BOMBOM RECHEADO COM CAMADAS DE WAFFER E COBERTO COM CHOCOLAT",7260107,100,PERDEU,PCT,4847,48.47
"CAFÉ TORRADO MOÍDO, TRADICIONAL",7260108,1000,PERDEU,UND,17890,17.89
"CANELA EM PO,",7260109,10,PERDEU,PT,0,0
"CARNE - MÚSCULO TRASEIRO BOVINO MOÍDO (Lagartão)",7260110,600,VENCEU,KG,16752,27.92
CHANTILLY,7260111,30,PERDEU,LT,669.9,22.33
"CHOCOLATE AO LEITE PURO EM LASCAS",7260112,100,PERDEU,KG,3732,37.32
"CHOCOLATE BRANCO PURO EM LASCAS",7260113,50,PERDEU,KG,2104.5,42.09
"CHOCOLATE EM PÓ",7260114,250,PERDEU,KG,8220,32.88
"CHOCOLATE GRANULADO",7260115,100,PERDEU,KG,1701,17.01
"COCO EM FLOCOS",7260116,100,VENCEU,UND,655,6.55
"COCO RALADO - CONGELADO MÉDIO",7260117,50,PERDEU,KG,0,0
"COCO RALADO",7260118,20,VENCEU,UND,109.6,5.48
"COXA E SOBRECOXA DE FRANGO, SEM OSSO E SEM PELE, CONGELADA",7260119,600,PERDEU,KG,0,0
"CREME DE LEITE UHT",7260120,100,PERDEU,UND,319,3.19
"DOCE DE BANANA SEM AÇÚCAR",7260121,50,VENCEU,KG,1281,25.62
"DOCE DE FRUTAS SORTIDO",7260122,50,VENCEU,KG,898.5,17.97
"Doce de Leite",7260123,100,VENCEU,POT,2081,20.81
"EMULSIFICANTE EMUSTAB",7260124,10,PERDEU,UND,88.9,8.89
"ERVILHA EM CONSERVA",7260125,25,VENCEU,KG,375.25,15.01
"ESSÊNCIA DE BAUNILHA LÍQUIDA BRANCA",7260126,5,PERDEU,UND,77.05,15.41
"ESSÊNCIA DE BAUNILHA LÍQUIDA PRETA",7260127,5,VENCEU,UND,66.75,13.35
"ESSÊNCIA DE PANETONE",7260128,10,PERDEU,UND,546.6,54.66
"FARINHA DE ARROZ",7260129,250,PERDEU,UND,0,0
"Farinha de aveia",7260130,50,VENCEU,KG,1115.5,22.31
"Farinha de mandioca Torrada",7260131,100,VENCEU,KG,485,4.85
"Farinha de milho.",7260132,100,VENCEU,KG,503,5.03
"FARINHA DE TRIGO - 25 kg",7260133,5000,VENCEU,KG,18650,3.73
"FARINHA DE TRIGO, 5 KG",7260134,1000,VENCEU,KG,3760,3.76
"FÉCULA DE MANDIOCA",7260135,50,VENCEU,UND,355.5,7.11
"FEIJAO PRETO",7260136,250,VENCEU,KG,1935,7.74
"FERMENTO BIOLÓGICO EM PÓ SECO E INSTANTÂNEO",7260137,500,PERDEU,KG,17220,34.44
"FERMENTO EM PO",7260138,150,PERDEU,KG,3157.5,21.05
"FILÉ DE FRANGO CONGELADO (SASSAMI)",7260139,1000,VENCEU,KG,15520,15.52
"FRUTAS CRISTALIZADAS",7260140,50,VENCEU,KG,579.5,11.59
"GERGELIM EM GRÃOS",7260141,5,PERDEU,KG,0,0
GOIABADA,7260142,50,PERDEU,UND,0,0
"GORDURA VEGETAL",7260143,75,PERDEU,GR,924.75,12.33
"Leite Condensado: Em embalagem treta pak de 395g.",7260144,1000,PERDEU,UNI,5180,5.18
"BALA MASTIGAVEL sabores diversos",7260145,300,PERDEU,PCT,0,0
"CREME VEGETAL",7260146,100,PERDEU,KG,1765,17.65
"GRANULADO COLORIDO",7260147,50,PERDEU,UND,0,0
"LEITE DE COCO TRADICIONAL",7260148,75,PERDEU,LT,603.75,8.05
"LEITE INTEGRAL EM PÓ INSTANTÂNEO VITAMINADO",7260149,500,PERDEU,KG,19255,38.51
"Leite Longa Vida Integral",7260150,200,VENCEU,LT,930,4.65
MARGARINA,7260151,50,PERDEU,KG,10906,218.12
"MASSA ALIMENTÍCIA DE ARROZ,  FORMATO FUSILLI OU PARAFUSO - N",7260152,150,PERDEU,KG,0,0
"MASSA DE PANETONE",7260153,50,PERDEU,KG,1063.5,21.27
"MILHO EM CONSERVA",7260154,50,PERDEU,KG,899,17.98
"MILHO PARA PIPOCA",7260155,500,VENCEU,KG,6490,12.98
"MISTURA PARA PÃO DE LÓ",7260156,75,PERDEU,UND,0,0
"MORANGO IN NATURA",7260157,50,VENCEU,BDJA,322,6.44
"OLEO DE SOJA",7260158,1000,PERDEU,UND,10870,10.87
OREGANO,7260159,20,PERDEU,EMB,420,21
"OVOS  DE GALINHA",7260160,12000,VENCEU,DZ,79560,6.63
"PALETA EM CUBOS, CONGELADA",7260161,500,VENCEU,KG,19360,38.72
"PAPEL MANTEIGA",7260162,50,PERDEU,UND,0,0
"PASTILHAS DE CHOCOLATES COLORIDAS",7260163,50,PERDEU,UND,0,0
"PEPINO EM CONSERVA",7260164,20,PERDEU,UND,0,0
"PÊSSEGOS EM CALDA",7260165,50,PERDEU,UND,0,0
PIRULITO.,7260166,1000,PERDEU,UNI,0,0
"POLPA DE ABACAXI",7260167,10,VENCEU,BLD,721.6,72.16
"POLPA DE AMEIXA",7260168,25,VENCEU,BLD,2890.25,115.61
"Polpa de fruta congelada",7260169,500,VENCEU,UN,8095,16.19
"POLVILHO AZEDO",7260170,300,VENCEU,KG,2556,8.52
"POLVILHO DOCE",7260171,150,PERDEU,KG,0,0
"PRESUNTO FATIADO",7260172,100,PERDEU,KG,0,0
"QUEIJO COLONIAL",7260173,400,VENCEU,KG,14576,36.44
"Queijo mussarela fatiado",7260174,500,VENCEU,KG,19060,38.12
"RECHEIO DE COCO",7260175,50,VENCEU,UND,4518,90.36
"Reforçador de massa",7260176,200,VENCEU,KG,3002,15.01
Refrigerante,7260177,500,PERDEU,LT,0,0
"SAL AMONIACO",7260178,10,PERDEU,KG,100.7,10.07
"SAL IODADO",7260179,1000,PERDEU,KG,1670,1.67
"SALAMINHO DEFUMADO",7260180,10,PERDEU,KG,346.5,34.65
"Salsicha Tipo Hot Dog",7260181,200,VENCEU,KG,7130,35.65
"SUCO DE UVA INTEGRAL",7260182,200,VENCEU,LIT,3434,17.17
"VINAGRE DE ALCOOL",7260183,100,PERDEU,EMB,0,0
"VINHO TINTO SUAVE EM GARRAFA",7260184,100,PERDEU,UND,0,0
