descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"ARRANJO DE FLORES 01",0,380,NAO_COTOU," ",0,0
"ARRANJO DE FLORES 02",0,380,NAO_COTOU," ",0,0
"BUQUE DE FLORES",0,420,NAO_COTOU," ",0,0
"ARRANJOS DE FLORES DE MESA",0,330,NAO_COTOU," ",0,0
"Locação de toalhas para mesas 2X2",0,670,NAO_COTOU," ",0,0
"Locação de toalhas para mesas  6X3",0,670,NAO_COTOU," ",0,0
"DIVULGAÇÃO CARRO DE SOM",0,700,NAO_COTOU," ",0,0
"SISTEMA de SONORIZAÇÃO PORTE 01",0,52,PERDEU," ",379613.52,7300.26
"SISTEMA de SONORIZAÇÃO PORTE 2",0,42,PERDEU," ",265734.42,6327.01
"SISTEMA de SONORIZAÇÃO PORTE 3",0,50,PERDEU," ",203526,4070.52
"SISTEMA de SONORIZAÇÃO DELAY",0,40,PERDEU," ",152879.2,3821.98
"SISTEMA de ILUMINAÇÃO PORTE 01",0,52,PERDEU," ",375019.32,7211.91
"SISTEMA de ILUMINAÇÃO PORTE 02",0,42,PERDEU," ",247151.1,5884.55
"PAINEL LED INDOOR",0,60,PERDEU," ",255912,4265.2
"Sistema de PROJEÇÃO",0,30,PERDEU," ",62386.2,2079.54
"SISTEMA de iILUMINAÇÃO CÊNICA E DECORATIVA",0,30,PERDEU," ",137778.3,4592.61
"COMUNICAÇÃO VISUAL - impressão digital em tecido",0,700,NAO_COTOU," ",0,0
"COMUNICAÇÃO VISUAL - impressão digital em lona",0,700,NAO_COTOU," ",0,0
"BASE DE PALCO SEM COBERTURA",0,3200,NAO_COTOU," ",0,0
"COBERTURAS - TENDA GALPÃO",0,17000,NAO_COTOU," ",0,0
"COBERTURAS - TENDAS PIRAMIDAIS 10x10",0,15000,NAO_COTOU," ",0,0
"COBERTURAS - TENDAS PIRAMIDAIS 5x5",0,3400,NAO_COTOU," ",0,0
"COBERTURAS - TENDAS PIRAMIDAIS 3X3",0,1700,NAO_COTOU," ",0,0
"GRADIL METALICO",0,4000,NAO_COTOU," ",0,0
"PISO DECK DE MADEIRA",0,10000,NAO_COTOU," ",0,0
"BOX TRUSS",0,6000,NAO_COTOU," ",0,0
"PIA LAVATÓRIO",0,200,NAO_COTOU," ",0,0
"BANHEIRO QUIMÍCO(M/F/NE)",0,190,NAO_COTOU," ",0,0
"Banheiro químico, individual, portátil, (deficiente físico)",0,230,NAO_COTOU," ",0,0
