descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Álcool etílico 70° antisséptico, frasco 1lt",8483335,13500,PERDEU,UNI,114885,8.51
"Álcool gel 70% 400g a 500g",8483336,7500,PERDEU,UN,113925,15.19
"Compressa Cirúrgica 45x50, tipo campo operatório, não descar",8483375,1500,PERDEU,PCT,217499.85,144.9999
"Compressa de Gaze Hidrófila Estéril 7,5 x 7,5 cm c/ 13 fios, pacote c/ 10 unidades.",8483379,637500,PERDEU,PCT,599186.25,0.9399
"Fita Cirúrgica Microporosa Hipoalergênica largura 5,0cm x 4,",8483419,15000,PERDEU,UNI,75900,5.06
"Luva de Látex não esteril tamanho P",8483454,3750,PERDEU,CX,61124.62,16.2999
"Luva de Látex não esteril tamanho M.",8483455,6000,PERDEU,CX,97500.6,16.2501
"Luva Nitrílica não esteril para procedimento tamanho P.",8483458,3375,PERDEU,CX,60648.41,17.9699
"Luva Nitrílica não esteril para procedimento tamanho M",8483459,3375,PERDEU,CX,60681.82,17.9798
"OLEO DE GIRASSOL 200ML",8483468,9000,PERDEU,FRA,80279.1,8.9199
"Preservativos Masculinos de 52 mm, com lubrificante",8483473,187500,PERDEU,UN,54056.25,0.2883
"Sonda uretral nº 12 descartável",8483523,101250,PERDEU,UN,58714.88,0.5799
"Soro Fisiológico 100ml (solução de cloreto de sódio 0,9%).",8483527,28500,PERDEU,UNI,151620,5.32
"Soro Fisiológico 250ml (solução de cloreto de sódio 0,9%).",8483528,33750,VENCEU,UNI,203175,6.02
"Soro Fisiológico 500ml (solução de cloreto de sódio 0,9%).",8483529,10500,VENCEU,UN,78120,7.44
