descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Apagador para Quadro Branco.",8219829,500,NAO_COTOU,UND,0,0
"Apagador, quadro negro escolar",8219830,500,PERDEU,UND,2050,4.1
"Apontador de lápis em plástico com reservatório",8219831,1000,VENCEU,UND,15800,15.8
"Barbante cru nº6. 1 KG",8219832,150,PERDEU,RL,4197,27.98
"Bastão de Cola Quente Grosso",8219833,1000,PERDEU,UND,1230,1.23
"Bobina de Papel Kraft Monolúcido virgem na medida 60 CM largura",8219834,400,PERDEU,UND,58000,145
"Bobina de Papel Pardo Kraft Monolúcido virgem na medida 1,20 M largura",8219835,200,PERDEU,UND,38580,192.9
"Borracha  branca escolar",8219836,600,VENCEU,CX,5112,8.52
"Caderno brochurão com capa flexível grande",8219837,5000,PERDEU,UND,17550,3.51
"Caderno Pequeno brochura não reciclado,",8219838,2000,NAO_COTOU,PCT,0,0
"Caderno quadriculado com arame. 1,0x1,0Cm",8219839,100,VENCEU,UND,314,3.14
"Caixa Arquivo Transparente Com 6 Pastas Suspensas Coloridas",8219840,300,VENCEU,UND,14247,47.49
"Caixa de arquivo morto polionda",8219841,600,PERDEU,UND,3084,5.14
"Caixa organizadora 42,0cm x 31,0cm x 20,0cm",8219842,100,VENCEU,UND,3098,30.98
"CAIXA ORGANIZADORA plástica 6 litros",8219843,1000,VENCEU,UND,13130,13.13
"CAIXA ORGANIZADORA plástica alta 36 litros",9002499,260,PERDEU,UND,15706.6,60.41
"CAIXA ORGANIZADORA plástica alta 36 litros",8219844,780,PERDEU,UND,47119.8,60.41
"Caneta destaca texto.",8219845,200,VENCEU,CX,1810,9.05
"Caneta esferografica azul ponta fina",8219846,400,VENCEU,CX,8892,22.23
"Caneta esferografica vermelha ponta fina",8219847,100,VENCEU,CX,2223,22.23
"Caneta hidrográfica 24 cores",8219848,100,VENCEU,PCT,520,5.2
"Cartolina com gramatura mínima 180/gm2",8219849,500,NAO_COTOU,PCT,0,0
"Cartolina tamanho ofício.",8219850,1000,NAO_COTOU,PCT,0,0
"COLA  EXTRA ADESIVO 1KG",8219851,150,PERDEU,UND,2847,18.98
"Cola Branca .",8219852,400,PERDEU,UND,3720,9.3
"Cola Branca não toxica",8219853,5000,NAO_COTOU,UND,0,0
"Compasso corpo de metal",8219854,500,PERDEU,UND,3510,7.02
"Conjunto de Dados para RPG",8219855,90,NAO_COTOU,UND,0,0
"CUBO MÁGICO 2X2X2",8219856,450,PERDEU,UND,20826,46.28
"CUBO MÁGICO 4X4X4",8219857,70,NAO_COTOU,UND,0,0
"CUBO MÁGICO MEGAMINX",8219858,70,NAO_COTOU,UND,0,0
