descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"alicate desencapador automático 8""",3682146,2,5,ATIVO,UNIDADE,1016.7,203.34
"APARELHO TELEFÔNICO HEADSET",3682147,5,10,ATIVO,UNIDADE,1600,160
"CAIXA DE SOM",3682148,7,30,ATIVO,UNIDADE,1068,35.6
"Computador  I5-12400",3682149,10,15,ATIVO,UNIDADE,51300,3420
"Computador  I5-12400",3682150,11,5,ATIVO,UNIDADE,17000,3400
"DVR 24 canais",3682151,12,3,ATIVO,UNIDADE,5460,1820
"Filtro de Linha com certificação inmetro",3682152,16,20,ATIVO,UNIDADE,800,40
"FONE DE OUVIDO",3682153,17,50,ATIVO,UNIDADE,2500,50
"HD INTERNO 10 TB",3682154,20,10,ATIVO,UNIDADE,22000,2200
"Impressora LASER MONOCROMATICA SEM LIMITAÇÃO",3682155,31,10,ATIVO,UNIDADE,19610,1961
"Notebook I7",3682156,36,38,ATIVO,UNIDADE,186377.08,4904.66
"Notebook I7",3682157,37,12,ATIVO,UNIDADE,58855.92,4904.66
"Balun passivo com transmissão de vídeo 2160P",3682158,50,10,ATIVO,UNIDADE,800,80
"SMARTPHONE SAMSUNG A52S",3682159,92,15,ATIVO,UNIDADE,35040,2336
