descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Acalcador de Banda c/ Ponta Triangular Invertida",2748741,1,10,ATIVO,UNIDADE,100,10
"Alicate Ortodôntico 139",2748742,9,10,ATIVO,UNIDADE,980,98
"Alicate ortodôntico saca banda 347",2748743,10,10,ATIVO,UNIDADE,1155,115.5
"Alicate ortodôntico weingart curvo 120",2748744,11,10,ATIVO,UNIDADE,2608,260.8
"Jogo Moldeira inox Vernes p/ DESDENTADO",2748745,24,5,ATIVO,PACOTE,1678.35,335.67
"Suporte de fixação para caixa de luvas",2748746,28,30,ATIVO,UNIDADE,2137.5,71.25
"Compasso de ponta seca",2748747,41,1,ATIVO,UNIDADE,141.53,141.53
"Organizador multi uso 10 litros plástico transparente com ta",2748748,61,30,ATIVO,UNIDADE,874.5,29.15
"Organizador multi uso 50 litros plástico transparente com ta",2748749,63,5,ATIVO,UNIDADE,121.15,24.23
"Ponta de pedra Arkansas Ultra-green CG 1123 para metal - 731",2748750,68,10,ATIVO,EMBALAGEM,98,9.8
"Rolo de elástico corrente MÉDIO cinza",2748751,71,10,ATIVO,EMBALAGEM,32.7,3.27
"Solda de Prata 0,5mm em Rolo",2748752,74,5,ATIVO,UNIDADE,43.75,8.75
"Aparelho Digital De Analgesia inalatoria",2748753,79,1,ATIVO,UNIDADE,3890,3890
