acao,ano,descricaoElemento,fonteRecurso,funcao,id,numeroElemento,orgao,portaria,programa,subfuncao,unidade
1013,2023,"APLICAÇÕES DIRETAS","Convênio de Trânsito - Prefeitura",15,17,33900000,"PREFEITURA MUNICIPAL DE CRICIÚMA"," ",1001,451,
1024,2023,"APLICAÇÕES DIRETAS","Recursos Ordinários",4,82,33900000,"SEC. MUN. DA FAZENDA"," ",1004,122,
1034,2023,"APLICAÇÕES DIRETAS","Receitas de Impostos e de Transferência de Impostos - Educação",12,150,33900000,"SEC. MUN. DE EDUCAÇÃO"," ",1005,361,
1034,2023,"APLICAÇÕES DIRETAS","Salário Educação",12,150,33900000,"SEC. MUN. DE EDUCAÇÃO"," ",1005,361,
1045,2023,"APLICAÇÕES DIRETAS","Receitas de Impostos e de Transferência de Impostos - Saúde",10,5,33900000,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,301,
1045,2023,"APLICAÇÕES DIRETAS","Transf. do SUS/União",10,5,33900000,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,301,
1045,2023,"APLICAÇÕES DIRETAS","Transf. do SUS/Estado",10,5,33900000,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,301,
1049,2023,"APLICAÇÕES DIRETAS","Transf. do SUS/União",10,10,33900000,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,304,
1050,2023,"APLICAÇÕES DIRETAS","Transf. do SUS/União",10,13,33900000,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,301,
1050,2023,"APLICAÇÕES DIRETAS","Receitas de Impostos e de Transferência de Impostos - Saúde",10,13,33900000,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,301,
1050,2023,"APLICAÇÕES DIRETAS","Transf. do SUS/Estado",10,13,33900000,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,301,
1052,2023,"APLICAÇÕES DIRETAS","Transf. do SUS/União",10,19,33900000,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,305,
1055,2023,"APLICAÇÕES DIRETAS","Transf. do SUS/União",10,27,33900000,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,301,
1207,2023,"APLICAÇÕES DIRETAS","Receitas de Impostos e de Transferência de Impostos - Saúde",10,56,33900000,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,305,
1048,2023,"APLICAÇÕES DIRETAS","Transf. do SUS/União",10,63,33900000,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,301,
1048,2023,"APLICAÇÕES DIRETAS","Transf. do SUS/Estado",10,63,33900000,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,301,
1093,2023,"APLICAÇÕES DIRETAS","Recursos Ordinários",27,3,33900000,EXTERNOS," ",1019,122,
1067,2023,"APLICAÇÕES DIRETAS","Transf. do Sist. Unico de Assist. Social-SUAS/União",8,7,33900000,UNESC," ",1014,244,
1068,2023,"APLICAÇÕES DIRETAS","Transf. do Sist. Unico de Assist. Social-SUAS/União",8,13,33900000,UNESC," ",1014,244,
1088,2023,"APLICAÇÕES DIRETAS","Recursos Ordinários",13,3,33900000,FCC," ",1018,122,
