arquivo,data,descricao,numero,tipo
"58d47ae8-1750-433a-9eba-33271c9c2225",2023-08-23,"CP 126.PMC.2023 - concessão ginásios de esportes VILA ZULEIMA E LARANJINHA.pdf"," ",EDITAL
"50584a56-ae8e-45be-a1d9-a4e12480d6dd",2025-10-03,"Termo de Homologação e Adjudicação 126.pdf"," ",HOMOLOGAÇÃO
"48a5b914-4e48-47ab-ae63-fb57d415a323",2025-10-06,"ATA CP 126.PMC.2022 - 01 abertura documentação.pdf"," ",ATAS
"b8d08eaa-dc73-42ab-b01c-24d9be44307b",2025-10-06,"ATA CP 126.PMC.2022 - 02 análise da documentação diligência.pdf"," ",ATAS
"973eec3d-97b3-48f2-be8a-73a94087a38f",2025-10-06,"ATA CP 126.PMC.2022 - 03 resposta as diligências.pdf"," ",ATAS
"2491acbc-5b7a-48b9-ab61-10f68f30eb5b",2025-10-06,"ATA CP 126.PMC.2022 - 06 recebimento do parecer juridico - improcedente.pdf"," ",ATAS
"2cfedcae-b10f-4ddb-9216-f45002945774",2025-10-06,"ATA CP 126.PMC.2022 - 07 marcação da abertura das propostas.pdf"," ",ATAS
"c06221ef-8cfe-4371-9f0f-d78babe48087",2025-10-06,"ATA CP 126.PMC.2022 - 04 recebimento recurso abertura de contrarrazões.pdf"," ",ATAS
"0b5d2a64-5006-43ad-be1b-78add07e6c81",2025-10-06,"ATA CP 126.PMC.2023 - 08 abertura das propostas com representante.pdf"," ",ATAS
"80dd74cd-78e0-479b-bac9-084de59d1954",2025-10-06,"ATA CP 126.PMC.2022 - 05 encerramento contra e encaminhamento juridico.pdf"," ",ATAS
