descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Açúcar branco refinado 1Kg",11177042,800,VENCEU," ",3920,4.9
"Açucar Mascavo 1Kg",11177042,150,VENCEU," ",1518,10.12
"Adoçante liquido 80 Ml (Stevia)",11177042,50,VENCEU," ",905,18.1
"Água de Coco 1 Lt",11177042,400,VENCEU," ",4040,10.1
"Agua de coco 200ml",11177042,60,VENCEU," ",3015,50.25
"Azeite de oliva extra virgem",11177042,20,VENCEU," ",571.6,28.58
"Balas (chocolate, Coco, Caramelo) embalagem 750g",11177042,50,VENCEU," ",805.5,16.11
"Banana Branca",11177042,120,VENCEU," ",588,4.9
"Biscoito Agua e Sal - 400 gr",11177042,350,VENCEU," ",2450,7
"Biscoito amanteigado sabores diversos embalagem 400g",11177042,200,VENCEU," ",1630,8.15
"Biscoito Chocolate 330g",11177042,60,VENCEU," ",489.6,8.16
"Biscoito coco embalagem 400g",11177042,30,VENCEU," ",244.2,8.14
"Biscoito milho embalagem 400g",11177042,60,VENCEU," ",490.2,8.17
"Biscoito wafer sabores diversos embalagem 160g",11177042,150,VENCEU," ",450,3
"Bolachão mel 400 g",11177042,50,VENCEU," ",400,8
"Bomboniere em vidro com tampe e pé 2,5 litros",11177042,10,VENCEU," ",790,79
"Bule de alumínio",11177042,6,VENCEU," ",510,85
"Café moido a vácuo embalagem 500gr",11177042,800,VENCEU," ",19600,24.5
"Chá Diversos Caixa com 10 Sachets",11177042,250,VENCEU," ",1125,4.5
"Chaleira elétrica inox 2,5l - Britânia",11177042,10,VENCEU," ",1580,158
"Coador de café em flanela 100% algodão",11177042,10,VENCEU," ",150.7,15.07
"Filtro de Papel 103 caixa com 30 unidades",11177042,200,VENCEU," ",970,4.85
"Garfo descartavel sobremesa",11177042,150,VENCEU," ",810,5.4
"Garrafa térmica de 1 litro",11177042,30,VENCEU," ",2010,67
"Garrafa térmica de 1.8 litro",11177042,40,VENCEU," ",3400,85
"Guardanapo 23x23cm com 50 unidades",11177042,200,VENCEU," ",572,2.86
"Jogo Talher com 24 unidades",11177042,10,VENCEU," ",890,89
"Leite em pó 400g instantâneo",11177042,60,VENCEU," ",1200.6,20.01
"Leite Integral caixa com 12 litros",11177042,210,VENCEU," ",12915,61.5
"Maçã nacional Gala ou Fugi",11177042,50,VENCEU," ",500,10
"Manteiga Com Sal Tablet 200 g",11177042,50,VENCEU," ",497.5,9.95
"Mexedor descartável para café (emb.com 200 unidades)",11177042,20,VENCEU," ",160,8
"Óleo de  Soja",11177042,80,VENCEU," ",808,10.1
"Ovos Tipo Colonial",11177042,60,VENCEU," ",600,10
"Palito caixa com 100 und",11177042,30,VENCEU," ",45,1.5
"Pano de louça para copa",11177042,200,VENCEU," ",900,4.5
"Papel Toalha de copa e cozinha",11177042,60,VENCEU," ",288,4.8
"Pêra Dagua Nacional",11177042,75,VENCEU," ",753.75,10.05
"Pratos plastico desc medio pc com 10 un",11177042,200,VENCEU," ",1130,5.65
"Pratos plastico descartavel pequeno com 10 un",11177042,500,VENCEU," ",1380,2.76
"Refrigerante (2 litros)",11177042,200,VENCEU," ",1800,9
"Refrigerante Sabores Diversos 350 ml",11177042,600,VENCEU," ",2352,3.92
"Sal Refinado",11177042,30,VENCEU," ",57,1.9
"Salgados fritos e assados - sortidos",11177042,280,VENCEU," ",22960,82
"Suco Natural Sabores Variados 1 Litro",11177042,460,VENCEU," ",3252.2,7.07
"Suporte para filtro café 103",11177042,10,VENCEU," ",101.2,10.12
Vinagre,11177042,20,VENCEU," ",40,2
"Forno micro-ondas 20 lts",11177042,6,VENCEU," ",4260,710
"Forno micro-ondas 32 lts nn",11177042,6,VENCEU," ",5406,901
Liquidificador,11177042,6,VENCEU," ",3030,505
"Bombom embalagem de 1 kg",11177042,100,VENCEU," ",5500,55
"Caixa de bombom",11177042,100,VENCEU," ",1010,10.1
"Tapetes personalizados pintados 2,00X1,20",11177042,20,VENCEU," ",4600,230
"Sanduicheira elétrica",11177042,6,VENCEU," ",900,150
"Refil para limpar garrafa térmica",11177042,10,VENCEU," ",90,9
"Toalhas de rosto felpuda",11177042,20,VENCEU," ",280,14
"Toalhas de banho felpuda",11177042,20,VENCEU," ",600,30
