descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Coletor de material perfuro cortante 3L. Caixa com 10 unidades",10971129,60,PERDEU,CX,1587.6,26.46
"Álcool etílico hidratado na concentração de 70º INPM (70% em",10971230,1900,VENCEU,FR.,9595,5.05
"Compressas de Gaze Hidrófila 9 fios, 100% Algodão 7,5 x 7,5",10971335,1500,PERDEU,PCT,35985,23.99
"Detergente multienzimático em galão de 4 a 5 litros",10971370,500,PERDEU,GAL,38250,76.5
"Envelope auto selante 90X260mm",10971385,2500,PERDEU,CX,51000,20.4
"Fio agulhado NYLON preto 3.0 /EP2",10971411,450,PERDEU,CX,17955,39.9
"Fita autoclave. Rolo de 19mm x 30m",10971421,200,PERDEU,ROLO,882,4.41
"Gorros descartáveis tipo touca com elástico",10971436,800,PERDEU,PCT,5776,7.22
"Indicador Biológico",10971444,600,PERDEU,CX,14520,24.2
"Luva cirurgica Látex, esterelizada, tamanho 7,5",10971506,2000,PERDEU,PCT,3040,1.52
"Luva cirurgica Látex, esterelizada, tamanho 8,0",10971507,2000,PERDEU,PCT,3120,1.56
"Luva cirurgica Látex, esterelizada, tamanho 7,0",10971508,2500,PERDEU,PCT,3800,1.52
"Máscara cirúrgica tripla",10971511,1500,PERDEU,CX,9420,6.28
"Papel Crepado em folhas 40 x 40 cm gramatura 60g/m²",10971527,20,PERDEU,CX,5210,260.5
"Papel grau cirúrgico 10cm x 100m",10971530,200,PERDEU,ROLO,13800,69
"Papel grau cirúrgico 25 cm x 100 m",10971531,300,PERDEU,BO,49500,165
