descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
",Apagador para quadro branco",14004936,500,PERDEU,UND,2250,4.5
"Apagador, quadro negro escolar",14004937,500,VENCEU,UND,2200,4.4
"Apontador de lápis em plástico com reservatório",14004938,1000,VENCEU,UND,14000,14
"Barbante cru nº6. 1 KG",14004939,180,VENCEU,RL,3238.2,17.99
"Bastão de Cola Quente Grosso 11,2 mmx30cm",14004940,300,PERDEU,PCT,11337,37.79
"Bobina de Papel Kraft Monolúcido virgem na medida 60 CM largura",14004941,400,PERDEU,UND,49596,123.99
"Bobina de Papel Pardo Kraft Monolúcido virgem na medida 1,20 M largura",14004942,200,PERDEU,UND,69998,349.99
"Borracha apagadora escritas branca escolar",14004943,780,VENCEU,CX,7363.2,9.44
"Caderno Brochurão com capa Flexível",14004944,15000,VENCEU,UND,52350,3.49
"Caderno Brochurão com capa Flexível",14183318,5000,VENCEU,UND,17450,3.49
"Caderno meia pauta",14004945,4500,PERDEU,UND,16065,3.57
"Caderno Pequeno brochura não reciclado",14004946,20000,PERDEU,UND,26200,1.31
"Caixa Arquivo Transparente Com 6 Pastas Suspensas Coloridas",14004947,300,PERDEU,UND,14988,49.96
"Caixa de arquivo morto polionda",14004948,600,PERDEU,UND,2574,4.29
"Caixa organizadora 42,0cm x 31,0cm x 20,0cm",14004949,100,PERDEU,UND,2849,28.49
"CAIXA ORGANIZADORA plástica 6 litros",14004950,100,VENCEU,UND,1329,13.29
"CAIXA ORGANIZADORA plástica alta 36 litros",14004951,200,PERDEU,UND,12338,61.69
"Caneta destaca texto.",14004952,250,PERDEU,CX,2087.5,8.35
"Caneta esferografica azul ponta fina",14004953,500,PERDEU,CX,18125,36.25
"caneta esferográfica na cor vermelha",14004954,150,PERDEU,CX,5437.5,36.25
"Caneta hidrográfica 24 cores",14004955,100,PERDEU,PCT,1555,15.55
"Cartolina com gramatura mínima 180/gm2.",14004956,500,VENCEU,PCT,33900,67.8
"Cartolina tamanho ofício 210mmx297mm",14004957,1800,PERDEU,PCT,17982,9.99
"Cola Branca 1 kg a base de PVA",14004958,500,PERDEU,UND,7460,14.92
"COLA  EXTRA ADESIVO 1KG",14004960,150,PERDEU,UND,5938.5,39.59
"Compasso corpo de metal",14004961,50,PERDEU,UND,269,5.38
"Desumidificador de papel",14004962,10,VENCEU,UN,2890,289
"envelope papel pardo tamanho 34 x 24 cm",14004963,42000,PERDEU,UND,9660,0.23
"ESTILETE PROFISSIONAL",14004964,300,VENCEU,UND,2415,8.05
"Fita adesiva colorida 12x30mt",14004965,200,PERDEU,PCT,2438,12.19
"Fita adesiva em papel crepado",14004966,3750,PERDEU,UND,97050,25.88
"Fita adesiva em papel crepado",14183319,1250,PERDEU,UND,32325,25.86
"Fita adesiva plastica transparente",14004967,6000,PERDEU,UND,21900,3.65
"Folha em EVA 600x400x2mm",14004969,3000,PERDEU,UND,4800,1.6
"Folha em EVA COM GLITTER",14004970,2000,PERDEU,UND,9700,4.85
"FOLHA OFÍCIO colorida",14004971,500,PERDEU,PCT,3190,6.38
"Folha para plastificadora",14004972,120,VENCEU,CX,6238.8,51.99
"Giz branco plastificado",14004973,2000,PERDEU,CX,7980,3.99
"Giz colorido plastificado",14004974,2000,PERDEU,CX,10980,5.49
"Giz de cera, caixa com 12 cores",14004975,5000,PERDEU,UN,23450,4.69
"Giz de cera: tons de pele",14004976,300,PERDEU,CX,4497,14.99
"Grampeador médio de mesa metálico, 26/6",14004977,500,PERDEU,UND,6245,12.49
"Grampeador profissional 28 cm P/ 100 FL",14004979,70,VENCEU,UND,2692.9,38.47
"Grampo para grampeador de madeira galvanizado, 106/6",14004980,100,PERDEU,CX,2175,21.75
"Grampo para grampeador galvanizado  23/6",14004981,300,PERDEU,CX,8340,27.8
"Grampo para grampeador Galvanizado, 23/13",14004982,300,PERDEU,CX,7347,24.49
"Grampo para grampeador em aço galvanizado, 26/6",14004983,600,PERDEU,CX,1974,3.29
"Guache Cores básicas",14004984,2500,PERDEU,UND,13725,5.49
"Kit para encadernação tamanho A4",14004985,60,PERDEU,PCTE,6240,104
"Lápis colorido - Caixa contendo 12",14004986,3750,PERDEU,CX,29962.5,7.99
"Lápis colorido - Caixa contendo 12",14183320,1250,PERDEU,CX,9987.5,7.99
"Lápis preto de grafite nº 2 .",14004987,1000,VENCEU,CX,41100,41.1
"Lápis preto grafite 6B",14004988,300,PERDEU,CX,10797,35.99
"Massa de modelar macia",14004989,5000,PERDEU,CX,19400,3.88
"Pacote de Balão",14004990,300,PERDEU,PCT,4197,13.99
"PALITO DE PICOLÉ",14004991,200,PERDEU,PCT,874,4.37
"Papel Almaço;",14004992,200,PERDEU,RES,11716,58.58
"Papel Almaço quadriculado 20x27,5 A4 (1x1cm).",14004993,30,PERDEU,PCT,1049.7,34.99
"Papel Cartao.",14004994,6000,PERDEU,UND,7980,1.33
"Papel couchê 180g/m2 com brilho",14004995,100,PERDEU,PCT,1308,13.08
"PAPEL DUPLEX",14004996,6000,PERDEU,UND,6180,1.03
"Papel Offset, alcalino, formato A-4",14004997,2225,PERDEU,CX,634080.5,284.98
"Papel Offset, alcalino, formato A-4",14183321,275,PERDEU,CX,68653.75,249.65
"Papel SEDA, COM BRILHO",14004998,6000,PERDEU,UND,2640,0.44
"Pasta Arquivo polipropileno",14004999,400,PERDEU,UND,996,2.49
"Perfurador  2 furos 20 folhas",14005000,200,PERDEU,UNID,2558,12.79
"PINCEL ATOMICO",14005001,3500,PERDEU,UND,5110,1.46
"Pincel chato - numero 12",14005002,2000,PERDEU,UND,2940,1.47
"Pincel chato - numero 8",14005003,2000,PERDEU,UND,3640,1.82
"Pincel marcador permanete 2pontas",14005004,80,PERDEU,CX,3596,44.95
"Pincel para quadro branco ou vidro RECARREGÁVEL",14005005,3750,PERDEU,UND,42300,11.28
"Pincel para quadro branco ou vidro RECARREGÁVEL",14183322,1250,PERDEU,UND,16237.5,12.99
"Pistola p/ Cola Quente elétrico,(GRANDE)",14005006,300,PERDEU,UND,5544,18.48
