descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
BALIZA,12074742,10,VENCEU,UND,5490,549
Barretina,12074743,193,VENCEU,UND,63304,328
"Boneco de vestir",12074744,2,PERDEU,UND,16380,8190
"Colete com gola rip stop",12074745,12,PERDEU,UND,3168,264
"Corpo coreográfico,  modelo 01",12074746,15,VENCEU,CJT,5535,369
"Corpo coreográfico, modelo 02",12074747,6,PERDEU,CJT,4494,749
"Corpo coreográfico, modelo 03",12074748,10,VENCEU,CJT,4990,499
"Corpo coreográfico, modelo 04",12074749,4,VENCEU,CJT,3196,799
"Flamula em veludo em formato triangulo",12074750,25,VENCEU,UND,3475,139
"Confecção de jalecos em Ripstop ( personalizados)",12074751,12,PERDEU,UND,4980,415
"MODELO 01- CALÇA/SAIA E TÚNICA",12074752,90,VENCEU,CJT,30510,339
"MODELO 02- CALÇA/SAIA E TÚNICA",12074753,90,VENCEU,CJT,26010,289
"MODELO 03- CONJUNTO CALÇA/SAIA E TÚNICA",12074754,100,VENCEU,CJT,30900,309
"MODELO 04 - CONJUNTO CALÇA/SAIA E TÚNICA",12074755,45,VENCEU,CJT,14805,329
"MODELO 05 - CONJUNTO CALÇA/SAIA E TÚNICA",12074756,45,PERDEU,CJT,12600,280
Quepe,12074757,187,VENCEU,UND,41888,224
"Sapato feminino estilo boneca",12074758,135,PERDEU,PAR,22680,168
"Sapato masculino, fechado em couro",12074759,280,PERDEU,PAR,43960,157
"Estandarte Modelo 2",12074760,5,PERDEU,UND,2925,585
