descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Acetilcisteina 600mg/Env 5gr",11967156,50000,PERDEU,ENV,62100,1.242
"Aciclovir 200 mg cpr, em blister.",11967157,180000,PERDEU,COMP,120294,0.6683
"Aciclovir 50 mg/g creme, bisnaga 10gr.",11967158,5000,PERDEU,BIS,30516.5,6.1033
"Ácido fólico 5mg cpr, em blister.",11967161,700000,PERDEU,COMP,154000,0.22
"Ácido Valproico 250mg capsula.",11967165,400000,PERDEU,CPLA,172000,0.43
"Ácido Valproico 500mg cpr.",11967166,650000,PERDEU,COMP,488150,0.751
"Albendazol 400mg comprimido mastigável, em blister.",11967172,18000,PERDEU,COMP,63180,3.51
"Albendazol 400mg/mL suspensão oral 10ml",11967173,30000,PERDEU,FR.,147300,4.91
"Alendronato de sódio 70mg, blister com 4cpr.",11967174,30000,PERDEU,COMP,38100,1.27
"Anlodipino, besilato 5mg cpr, em blister.",11967186,2500000,PERDEU,COMP,500000,0.2
"Atenolol 50mg cpr, em blister.",11967187,1500000,PERDEU,COMP,270000,0.18
"Azitromicina 200mg/5mL (40mg/ml) suspensão oral, 15ml após reconstituição.",11967189,16000,PERDEU,FR,296000,18.5
"Azitromicina 500mg",11967190,150000,PERDEU,CP,307500,2.05
"BENZILPENICILINA BENZATINA 1.200.000 UI.",11967193,9000,PERDEU,FR/AM,85590,9.51
"Betametasona, diproprionato +  betametasona fosfato 1ml",11967195,22000,PERDEU,AMP,165220,7.51
"Carbonato de lítio 300mg cpr, em blister.",11967212,600000,PERDEU,COMP,228000,0.38
"Carvedilol 12,5 mg cpr, em blister.",11967214,250000,PERDEU,COMP,27500,0.11
"Carvedilol 3,125 mg cpr, em blister.",11967216,60000,PERDEU,COMP,9000,0.15
"Carvedilol 6,25 mg cpr, em blister.",11967217,180000,PERDEU,COMP,27000,0.15
"Ciprofloxacino 500mg cpr.",11967225,280000,PERDEU,COMP,607600,2.17
"Clindamicina 300mg capsula, em blister.",11967227,10000,PERDEU,CPLA,81000,8.1
"Clopidogrel 75mg comprimido revestido, em blister.",11967233,280000,PERDEU,COMP,190400,0.68
"Cloreto de sódio 0,9%, solução nasal, frasco 30ml.",11967236,7000,PERDEU,FR.,26810,3.83
"Diclofenaco sódico 50mg cpr, em blister.",11967253,550000,PERDEU,COMP,148500,0.27
"Simeticona 75mg/mL solução oral, frasco 10ml.",11967257,15000,PERDEU,FR.,54450,3.63
"Doxazosina 2 mg cpr, em blister.",11967262,360000,PERDEU,COMP,61200,0.17
"Enalapril, maleato 10mg cpr, em blister.",11967264,2000000,PERDEU,COMP,184400,0.0922
"Enalapril, maleato 20mg cpr, em blister.",11967265,1500000,PERDEU,COMP,253800,0.1692
"Enalapril, maleato 5mg cpr, em blister.",11967266,300000,PERDEU,COMP,156000,0.52
"Enantoato de noretisterona + valerato de estradiol / AMP 1ml",11967267,6000,PERDEU,AMP,96000,16
"Finasterida 5 mg cpr, em blister.",11967281,180000,PERDEU,COMP,81000,0.45
"Fluconazol 150mg capsula.",11967283,70000,PERDEU,CPLA,1285200,18.36
"Furosemida 40mg cpr, em blister.",11967289,850000,PERDEU,COMP,212500,0.25
"Isossorbida, mononitrato 20mg cpr, em blister.",11967312,800000,PERDEU,COMP,128000,0.16
"Isossorbida, mononitrato 40mg cpr, em blister.",11967313,300000,PERDEU,COMP,96000,0.32
"Levofloxacino 500mg cpr, em blister.",11967321,10000,PERDEU,COMP,6830,0.683
"Levonorgestrel 0,15mg + Etinilestradiol 0,03mg",11967324,7000,PERDEU,COMP,60060,8.58
"Loratadina 10mg cpr, em blister.",11967334,800000,PERDEU,COMP,248000,0.31
"Loratadina 1mg/mL xarope, frasco de 100ml.",11967335,12000,PERDEU,FR,112320,9.36
"Losartana 50mg cpr revestido, em blister.",11967336,5000000,PERDEU,COMP,1400000,0.28
"Metilfenidato 10 mg cpr, em blister.",11967341,600000,PERDEU,COMP,600000,1
"Metoclopramida, cloridrato 10mg cpr, em blister.",11967343,850000,PERDEU,COMP,422450,0.497
"Metoprolol, succinato 50mg, comprimido de liberação prolonga",11967344,30000,PERDEU,COMP,47100,1.57
"Omeprazol 40mg, injetável, com diluente 10ml.",11967367,200,PERDEU,FR/AM,3000,15
"Ondansetrona 2mg/ml injetável, ampola 2mL.",11967368,4000,PERDEU,AMP,18240,4.56
"Paracetamol 200mg/mL solução oral, frasco 15ml.",11967370,30000,PERDEU,FR.,211500,7.05
"Prednisolona 3mg/mL solução oral, com copo medida, frasco 60",11967376,18000,PERDEU,FR.,206460,11.47
"Prednisona 20mg cpr.",11967377,600000,PERDEU,COMP,324000,0.54
"Prednisona 5mg cpr.",11967378,350000,PERDEU,COMP,73500,0.21
"Risperidona 1mg cpr, em blister.",11967382,480000,PERDEU,COMP,100800,0.21
"Risperidona 2mg cpr, em blister.",11967383,600000,PERDEU,COMP,132000,0.22
"rocurônio, brometo 10mg/ml, ampola 5ml.",11967385,200,PERDEU,"FR+A",5600,28
"Sinvastatina 20mg cpr, em blister.",11967389,2000000,PERDEU,COMP,1600000,0.8
"Sinvastatina 40 mg cpr, em blister.",11967390,1800000,PERDEU,COMP,4770000,2.65
"Tenoxicam 20 mg pó, para suspensão injetável endovenoso ou i",11967400,1000,PERDEU,FR/AM,9000,9
"Verapamil 80mg cpr, em blister.",11967410,500000,PERDEU,COMP,160000,0.32
