descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Cabo PP 4x1,5mm",0,3000,PERDEU," ",31080,10.36
"Cabo PP 3x1,5mm",0,3000,PERDEU," ",28560,9.52
"Cabo PP 2x1,5mm",0,3000,PERDEU," ",27510,9.17
"Grupo Focal Veicular Principal 3x200mm ""l"" a LED, padrão SEMCO, com suporte em Longarina para montagem de suporte basculante e anteparo solar",0,8,PERDEU," ",19087.52,2385.94
"Grupo Focal Veicular Repetidor 3x200mm ""l"" a LED, padrão SEMCO",0,8,PERDEU," ",13133.36,1641.67
"Grupo Focal Pedestre 2x200mm a LED, padrão SEMCO, com cronômetro numérico indicando tempo restante de travessia",0,36,PERDEU," ",55683,1546.75
"Módulo a LED veicular 200mm - Cor: Vermelho",0,50,PERDEU," ",15937,318.74
"Módulo a LED veicular 200mm - Cor: Amarelo",0,50,PERDEU," ",15937,318.74
"Módulo a LED veicular 200mm - Cor: Verde",0,50,PERDEU," ",17616.5,352.33
"Botoeira para pedestre - Tipo sonora, conforme resolução 704",0,32,PERDEU," ",66607.68,2081.49
"Módulo a LED pedestre 200mm ou 200x200mm – Cor Vermelho (C/ cronômetro numérico regressivo)",0,16,PERDEU," ",8250.08,515.63
"Módulo a LED pedestre 200mm ou 200x200mm - Cor Verde",0,16,PERDEU," ",4797.6,299.85
"Suporte simples, abraçadeira diâmetro 101mm, em alumínio, na",0,20,PERDEU," ",3106.6,155.33
"Suporte simples, abraçadeira diâmetro 114mm, em alumínio, na",0,20,PERDEU," ",3106.6,155.33
"Suporte basculante, abraçadeira diâmetro 101mm, em alumínio, na cor preto",0,30,PERDEU," ",6731.1,224.37
"Anteparo solar para grupo focal padrão SEMCO 3x200, em alumínio",0,12,PERDEU," ",4788.6,399.05
"Controlador eletrônico semafórico 8/8 fases - Conforme norma ABNT NBR 16653",0,8,PERDEU," ",110117.36,13764.67
