descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Apontador de lápis em plástico com reservatório",14004938,1000,PERDEU,UND,14990,14.99
"Caderno Pequeno brochura não reciclado",14004946,20000,VENCEU,UND,23800,1.19
"Caneta destaca texto.",14004952,250,PERDEU,CX,2075,8.3
"Caneta hidrográfica 24 cores",14004955,100,PERDEU,PCT,675,6.75
"Compasso corpo de metal",14004961,50,PERDEU,UND,230,4.6
"Fita adesiva plastica transparente",14004967,6000,VENCEU,UND,15840,2.64
"Folha em EVA COM GLITTER",14004970,2000,PERDEU,UND,6980,3.49
"Grampeador médio de mesa metálico, 26/6",14004977,500,VENCEU,UND,5175,10.35
"Grampeador profissional 28 cm P/ 100 FL",14004979,70,PERDEU,UND,3045,43.5
"Lápis colorido - Caixa contendo 12",14004986,3750,PERDEU,CX,30375,8.1
"Lápis colorido - Caixa contendo 12",14183320,1250,PERDEU,CX,10125,8.1
"Papel Almaço;",14004992,200,VENCEU,RES,7500,37.5
"Papel couchê 180g/m2 com brilho",14004995,100,VENCEU,PCT,1100,11
"Perfurador  2 furos 20 folhas",14005000,200,VENCEU,UNID,2070,10.35
"PINCEL ATOMICO",14005001,3500,VENCEU,UND,4025,1.15
"Pincel chato - numero 12",14005002,2000,VENCEU,UND,1900,0.95
"Pincel chato - numero 8",14005003,2000,VENCEU,UND,1500,0.75
"Pincel marcador permanete 2pontas",14005004,80,VENCEU,CX,1520,19
"Pincel para quadro branco ou vidro RECARREGÁVEL",14005005,3750,VENCEU,UND,13125,3.5
"Pincel para quadro branco ou vidro RECARREGÁVEL",14183322,1250,VENCEU,UND,4375,3.5
"Refil WBS-VBM",14005009,2000,VENCEU,UND,3500,1.75
"Régua escritório 30cm",14005010,7000,PERDEU,UND,11200,1.6
"Tesoura de ponta arredondada",14005014,5000,VENCEU,UND,7250,1.45
"Tesoura Doméstica",14005015,1000,VENCEU,UND,3620,3.62
