descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Avaliação de Características Físico Operacionais dos Semáforos Existentes",11386788,57,VENCEU," ",57000,1000
"Pesquisa de Contagem Classificada de veículos 24 horas com filmagem",11386788,240,VENCEU," ",960000,4000
"Pesquisa de Contagem de pedestres 24 horas com filmagem",11386788,15,VENCEU," ",22500,1500
"Estratégia de Operação da Interseção com Semáforo Existente",11386788,57,VENCEU," ",17100,300
"Elaboração de Programações Semafóricas em Semáforos Existentes e à Implantar",11386788,72,VENCEU," ",79200,1100
"Estudo de engenharia para viabilidade de implantação de controle semafórico",11386788,15,VENCEU," ",82500,5500
"Projeto de Sinalização Semafórica (projeto de implantação de semáforo)",11386788,15,VENCEU," ",42000,2800
"Dimensionamento de Defasagens para onda verde (sincronização)",11386788,7,VENCEU," ",24500,3500
"Elaboração de Termo de Referência para modernização do parque semafórico (Central Semafórica)",11386788,1,VENCEU," ",140000,140000
"Projeto funcional de circulação viária - por km (enre 10 e 100km)",11386788,40.1,VENCEU," ",40100,1000
"Projeto funcional de circulação viária - por interseção (mais de 15 interseções)",11386788,353,VENCEU," ",141200,400
"Simulação de tráfego em software consagrado",11386788,33,VENCEU," ",247500,7500
"Estudo de capacidade e nível de serviço em software de simulação consagrado",11386788,72,VENCEU," ",201600,2800
"Levantamento topográfico expedito",11386788,50,VENCEU," ",50000,1000
"Projeto básico de redefinição de geometria",11386788,50,VENCEU," ",165000,3300
"Projetos e cadastro de sinalização horizontal e vertical (reg. e adv.) - por km (entre 10 e 100km)",11386788,70.65,VENCEU," ",113040,1600
"Projetos e cadastro de sinalização horizontal e vertical (reg. e adv.) - por interseção (mais de 15)",11386788,567,VENCEU," ",215460,380
