descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Ácido Acetilsalicilico 100mg cpr, em blister.",11967159,2500000,PERDEU,COMP,125000,0.05
"Ácido Ascórbico 100mg/mL, injetável, ampola 5ml.",11967160,4000,PERDEU,AMP,4800,1.2
"Ácido fólico 5mg cpr, em blister.",11967161,700000,PERDEU,COMP,42000,0.06
"Ácido fólico 0,2mg/ml, solução oral, frasco 30ml.",11967162,5000,PERDEU,FR.,27150,5.43
"Epinefrina 1mg/mL (adrenalina), injetável, ampola 1ml",11967169,3000,PERDEU,AM,4500,1.5
"Anlodipino, besilato 5mg cpr, em blister.",11967186,2500000,PERDEU,COMP,100000,0.04
"Atenolol 50mg cpr, em blister.",11967187,1500000,PERDEU,COMP,105000,0.07
"Azitromicina 200mg/5mL (40mg/ml) suspensão oral, 15ml após reconstituição.",11967189,16000,PERDEU,FR,162880,10.18
"BENZILPENICILINA BENZATINA 1.200.000 UI.",11967193,9000,PERDEU,FR/AM,102600,11.4
"Bicarbonato de sódio 8,4% ampola 10ml.",11967196,600,PERDEU,AMP,534,0.89
"Brometo de N-butilescopolamina 20mg/mL injetável 1ml",11967200,5000,PERDEU,AMP,7500,1.5
"Brometo de N-butilescopolamina 4mg/mL + dipirona sódica 500m",11967201,3000,PERDEU,AMP,7650,2.55
"Captopril 25mg cpr, em blister.",11967207,1500000,PERDEU,COMP,45000,0.03
"Carbonato de lítio 300mg cpr, em blister.",11967212,600000,PERDEU,COMP,150000,0.25
"Carvedilol 12,5 mg cpr, em blister.",11967214,250000,PERDEU,COMP,35000,0.14
"Carvedilol 25 mg cpr, em blister.",11967215,280000,PERDEU,COMP,47600,0.17
"Carvedilol 3,125 mg cpr, em blister.",11967216,60000,PERDEU,COMP,6000,0.1
"Carvedilol 6,25 mg cpr, em blister.",11967217,180000,PERDEU,COMP,19800,0.11
"Cimetidina 150mg/ml, ampola 2ml.",11967223,1500,PERDEU,AM,2370,1.58
"Clonazepam 2,5mg/mL 20ml",11967228,6000,PERDEU,FR.,21600,3.6
"Cloreto de potássio 19,1%, injetável, ampola 10ml.",11967235,600,PERDEU,AMP,432,0.72
"Cloreto de sódio 0,9%, ampola 10ml.",11967239,24000,PERDEU,AMP,12480,0.52
"Dexametasona, fosfato de dissódico 4mg/ml injetável 2,5mL",11967247,5000,PERDEU,AMP,12750,2.55
"Diazepam 5mg/ml solução injetavel 2ml",11967251,4000,PERDEU,AMP,5280,1.32
