descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"EFFA CAMINHONETE C. FECHADA V21 2017",5162989,1,1,ATIVO,UNIDADE,669.63,40.5
"FIAT PALIO FASE II 4P FIRE 1.0mpi Fire Flex 8v 2015",5162990,10,1,ATIVO,UNIDADE,669.29,40.5
"FORD KÁ SE 1.5 SD B 2018",5162991,17,1,ATIVO,UNIDADE,669.29,43
"GM MONTANA LS2 1.4 8V 2020",5162992,18,4,ATIVO,UNIDADE,2677.16,41
"HYUNDAI HB20 S10 TM PLATIN 2022",5162993,28,4,ATIVO,UNIDADE,2677.16,40.5
"IVECO MIC.ONIB. VAN DAILY 55C16 TCA 2018",5162994,30,1,ATIVO,UNIDADE,669.29,40.5
"IVECO CAMIN. FURGÃO DAILY 35s14 HDG FURGÃO 2018",5162995,31,1,ATIVO,UNIDADE,669.29,40.5
"KIA BONGO K2500 LD 2009",5162996,32,1,ATIVO,UNIDADE,669.29,40.5
"KIA BONGO UK2500 HD 2021",5162997,33,1,ATIVO,UNIDADE,669.29,40.5
"M. BENZ 515 CDI SPRINTER MICROONIBUS 2019",5162998,37,1,ATIVO,UNIDADE,669.29,40.5
"M. BENZ 515 CDI SPRINTER TCA AMB 2019",5162999,38,2,ATIVO,UNIDADE,1338.58,40.5
"NISSAN FRONTIER SV ATTACK AT. 4x4 2.5 Turbo-Diesel 174cv 2015",5163000,42,1,ATIVO,UNIDADE,669.29,40.5
"PEUGEOT BOXER EUROLAF 2021",5163001,46,2,ATIVO,UNIDADE,1338.58,40.5
"RENAULT MASTER ROTANAMB FURGÃO 2.5 16v Diesel 2016",5163002,49,2,ATIVO,UNIDADE,1338.58,40.5
"RENAULT MASTER EURO AMB FURGÃO 2017",5163003,50,1,ATIVO,UNIDADE,669.29,40.5
"TOYOTA COROLLA XEI 2.0 FLEX 2018-2022.",5163004,52,2,ATIVO,UNIDADE,1338.58,40.5
"AGRALE/8500 TCA(Nacional) 2010",5163005,62,3,ATIVO,UNIDADE,2007.87,40.5
"FORD/CARGO 1415(Nacional) 1990",5163006,65,1,ATIVO,UNIDADE,669.29,40.5
"FORD/CARGO 2631 6X4(Nacional) 2019",5163007,68,2,ATIVO,UNIDADE,1338.58,40.5
"FORD/CARGO 712 (Nacional) 2010",5163008,69,1,ATIVO,UNIDADE,669.29,40.5
"FORD/CARGO 815 E(Nacional) 2010",5163009,70,2,ATIVO,UNIDADE,1338.58,40.5
"HYUNDAI HD80 - 2019",5163010,72,2,ATIVO,UNIDADE,1338.58,40.5
"IVECO/CITYCLASS 70C17 (Nacional) 2014",5163011,74,1,ATIVO,UNIDADE,669.29,40.5
"IVECO/CITYCLASS 70C17 (Nacional) 2016",5163012,75,1,ATIVO,UNIDADE,669.29,40.5
"IVECO/GRANCLASS 150S21E (Nacional) 2017",5163013,76,1,ATIVO,UNIDADE,669.29,40.5
"M.BENZ/710 (Nacional) 2001",5163014,78,1,ATIVO,UNIDADE,669.29,40.5
"M.BENZ/L 1113(Nacional) 1978",5163015,79,1,ATIVO,UNIDADE,669.29,40.5
"M.BENZ/L 608 D(Nacional) 1983",5163016,81,1,ATIVO,UNIDADE,669.29,40.5
"M.BENZ/LS 1313(Nacional) 1979",5163017,82,1,ATIVO,UNIDADE,669.29,40.5
"MARCOPOLO/VOLARE W9 ON (Nacional) 2009",5163018,84,2,ATIVO,UNIDADE,1338.58,40.5
"SCANIA/K113 TL 6X2 360 (Nacional) 1997",5163019,85,1,ATIVO,UNIDADE,669.29,40.5
"VW/24.250 CNC 6X2 (Nacional) 2008",5163020,88,1,ATIVO,UNIDADE,669.29,40.5
"VW/26.390 CTC 6X4 CARRETA 2012",5163021,89,1,ATIVO,UNIDADE,669.29,40.5
"VW/8.120 EURO3(Nacional) 2008",5163022,91,1,ATIVO,UNIDADE,669.29,40.5
"VW/NEOBUS THUNDER(Nacional) 2003",5163023,97,2,ATIVO,UNIDADE,1338.58,40.5
"VW/NEOBUS THUNDER FR 2022",5163024,98,1,ATIVO,UNIDADE,669.29,40.5
"VW/NEOBUS MINI TR ESCOLAR - 2020",5163025,99,2,ATIVO,UNIDADE,1338.58,40.5
