arquivo,data,descricao,numero,tipo
"bbcd2fb5-9aac-4c11-96ae-fb80f749fac5",2025-10-03,"HOMOLOGAÇÃO E ADJUDICAÇÃO.pdf"," ",HOMOLOGAÇÃO
"cfc4524d-3bf9-4ccd-823e-e78b49c62f1a",2024-06-27,"PRE 023.PMC.2024 - Sinalizalão Viária Horizontal.pdf"," ",EDITAL
"249fec1d-81e1-413e-a7c8-65877a779f57",2025-10-03,"RESPOSTA RECURSO ICD (1).pdf"," ","RECURSOS/IMPUGNAÇÕES/MEMORANDOS"
"c45e2e41-c96d-4327-b824-e7f783e1d898",2025-10-03,"PARECER JURIDICO - PRE 023.PMC.2024 - RP de tintas de sinalização viária horizontal.pdf"," ","PARECER JURIDICO"
"20719aab-8292-4fbe-a381-6b7187b79555",2025-10-03,"ATA PARCIAL.pdf"," ","ata de sessão"
"c9f4305f-397b-46c8-abfb-435322d64278",2025-10-03,"VENCEDORES DO PROCESSO.pdf"," ","ata de sessão"
"a67fd802-cbdc-4d63-9ecb-dfd1d445896a",2025-10-03,"RANKING DO PROCESSO.pdf"," ","ata de sessão"
"dd7d9441-7680-4945-b829-76b152908ea9",2025-10-03,"RELATORIO DE PROPOSTA COMERCIAL.pdf"," ","ata de sessão"
"99f9b874-a1ed-463f-8d59-63e3c5f2e049",2025-10-03,"ATA DE PROPOSTAS.pdf"," ","ata de sessão"
"9bf9949b-89fc-4b7a-b5bc-1bae7c464adc",2025-10-03,"ATA FINAL.pdf"," ","ata de sessão"
"5ec616cf-27eb-4bbb-8d93-90c059898031",2025-10-03,"ATA DE PROPOTAS READEQUADAS.pdf"," ","ata de sessão"
