arquivo,data,descricao,numero,tipo
"47cc1ab0-2ea7-45b8-92c7-899743b332c8",2025-01-23,"PRE_141.PMC.2024_-_Servicos_de_manutencao_prev._e_cor._ar_condicionados_assinado.pdf"," ",EDITAL
"cb4ac6da-40e3-4e46-8c92-fc906706e54a",2025-10-06,"TERMO DE REFERENCIA.pdf"," ","TERMO DE REFERENCIA"
"3e242c0f-5492-484b-9a1b-dfec9832d2dd",2025-10-06,"Ata Homologacao.pdf"," ",HOMOLOGAÇÃO
"2284cef7-e660-4558-9343-3c4d948fa4db",2025-10-06,"Ata Sessao Disputa.pdf"," ",ATAS
"e633dea1-d2ce-4a4c-b175-678b4872482f",2025-10-06,"Ata Adjudicacao.pdf"," ",ATAS
"bb64c3f5-3a63-49d6-ab95-5fd754f15696",2025-10-02,"RECURSO SANTEC.pdf"," ","RECURSOS/IMPUGNAÇÕES/MEMORANDOS"
"17e2274b-e0e3-4b1e-889f-ae73cfaa4649",2025-10-02,"RECURSO CLIMA SERVICE.pdf"," ","RECURSOS/IMPUGNAÇÕES/MEMORANDOS"
"badcb83f-2274-4e8b-9c03-3073c6b78629",2025-10-02,"CONTRARRAZÃO B&C.pdf"," ","RECURSOS/IMPUGNAÇÕES/MEMORANDOS"
"84b145b1-ea0d-4dc4-be5e-a2040ece0140",2025-10-02,"PARECER TÉCNICO CLIMA X B&C.pdf"," ","RECURSOS/IMPUGNAÇÕES/MEMORANDOS"
"a5d88c19-357f-4055-b652-b0dbd3d72823",2025-10-02,"PARECER JURÍDICO CLIMA X B&C.pdf"," ","RECURSOS/IMPUGNAÇÕES/MEMORANDOS"
"58466926-bb9a-4b3f-abcf-ff9a1ee02916",2025-10-03,"PARECER JURIDICO - PRE 141.PMC.2024 - Serviços de manutenção ar condicionados.pdf"," ","PARECER JURIDICO"
