descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Agulhas hipodérmicas 13mmX4,5mm",14877908,280,PERDEU,CX,1988,7.1
"Agulhas hipodérmicas 25X7 mm.",14877911,1100,PERDEU,CX,7810,7.1
"Agulhas hipodérmicas 25X8 mm.",14877912,300,PERDEU,CX,2130,7.1
"Agulhas hipodérmicas 30X8 mm.",14877913,150,PERDEU,CX,1065,7.1
"Agulhas hipodérmicas 40X12 mm.",14877914,1500,PERDEU,CX,11100,7.4
"Algodão Hidrófilo 100%",14877917,500,PERDEU,UNI,7475,14.95
"Ataduras de Crepom 10cm.",14877926,40000,PERDEU,UNI,28400,0.71
"Ataduras de Crepom 12cm.",14877927,40000,PERDEU,UNI,33600,0.84
"Ataduras de Crepom 15cm",14877928,40000,PERDEU,UN,41200,1.03
"Ataduras de Crepom 20cm",14877929,18000,PERDEU,UN,23760,1.32
"Ataduras de Crepom 6cm",14877930,20000,PERDEU,UN,9800,0.49
"Ataduras de Crepom 8cm",14877931,25000,PERDEU,UN,15250,0.61
"Cateter Intravenoso n°14 G, com dispositivo de segurança.",14877938,2500,PERDEU,UNI,4475,1.79
"Cateter Intravenoso n°16 G, com dispositivo de segurança",14877939,4000,PERDEU,UNI,7160,1.79
"Cateter Intravenoso n°18 G, com dispositivo de segurança",14877940,3000,PERDEU,UNI,5370,1.79
"Cateter Intravenoso n°20 G, com dispositivo de segurança",14877941,8000,PERDEU,UNI,14320,1.79
"Cateter Intravenoso n°22 G, com dispositivo de segurança",14877942,4000,PERDEU,UNID,7160,1.79
"Cateter Intravenoso n°24 G, com dispositivo de segurança.",14877943,4000,PERDEU,UNI,7160,1.79
"Coletor para materiais perfuro cortante (capacidade 13 Litros).",14877948,4000,PERDEU,UNI,23600,5.9
"Coletor para materiais perfuro cortante (capacidade 7 Litros).",14877949,3000,PERDEU,UNI,13200,4.4
"Compressa Cirúrgica 45x50, tipo campo operatório, não descartável.",14877950,1125,VENCEU,PCT,83475,74.2
"Compressa Cirúrgica 45x50, tipo campo operatório, não descartável.",14882882,375,VENCEU,PCT,27825,74.2
"Compressa Cirúrgica, 23x25, tipo campo operatório, não descartável.",14877951,500,PERDEU,PCT,18750,37.5
"Compressa de gaze (tipo queijo) em Rolo.",14877952,150,PERDEU,ROLO,16440,109.6
"Compressa de gaze Hidrófila 7,5 X 7,5 com 13 fios, pacote com 500und.",14877953,1200,PERDEU,PCT,35760,29.8
"Compressa de Gaze Hidrófila Estéril 7,5 x 7,5 cm c/ 13 fios, blister contendo 10 unidades estéreis com embalagem em plástico e papel grau cirúrgico.",14877954,525000,PERDEU,PCT,399000,0.76
"Compressa de Gaze Hidrófila Estéril 7,5 x 7,5 cm c/ 13 fios, blister contendo 10 unidades estéreis com embalagem em plástico e papel grau cirúrgico.",14882931,175000,PERDEU,PCT,133000,0.76
"Envelopes auto selantes 150mmx250mm.",14877975,200,PERDEU,CX,5760,28.8
"Envelopes auto selantes 190mmx330mm",14877976,1875,PERDEU,CX,97800,52.16
"Envelopes auto selantes 190mmx330mm",14882935,625,PERDEU,CX,32600,52.16
"Fita Cirúrgica Microporosa Hipoalergênica largura 10cm x 4,5m comprimento",14878005,5000,PERDEU,UNI,40750,8.15
"Fita Cirúrgica Microporosa Hipoalergênica largura 2,5cm x 4,5m comprimento",14878006,9000,PERDEU,UNI,22770,2.53
"Fita Cirúrgica Microporosa Hipoalergênica largura 5,0cm x 4,5m comprimento.",14878007,12375,PERDEU,UNI,61875,5
"Fita Cirúrgica Microporosa Hipoalergênica largura 5,0cm x 4,5m comprimento.",14883082,4125,PERDEU,UNI,20625,5
"Máscara cirúrgica tripla descartável.",14878057,7000,PERDEU,UNI,30800,4.4
"Papel grau cirúrgico 10cmx100m.",14878067,1000,PERDEU,BOBI,53400,53.4
"Seringa 10ml sem agulha LUER SLIP.",14878092,60000,PERDEU,UNI,16200,0.27
"Seringa 3ml sem agulha LUER LOCK",14878094,140000,PERDEU,UNI,19600,0.14
"Seringa 5ml sem agulha LUER LOCK",14878095,52000,PERDEU,UNI,9360,0.18
"Seringa 60ml sem agulha LUER SLIP",14878096,2000,PERDEU,UNI,2600,1.3
