descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"ACCESS POINT",16936235,20,PERDEU,UND,31321.4,1566.07
"Fone de ouvido do tipo headset",16936236,100,DESCLASSIFICADO,UN,28050,280.5
"Caixa de som 18W RMS",16936237,4,PERDEU,UN,1181.4,295.35
"Caixa de som 30W RMS",16936238,20,PERDEU,UN,29007,1450.35
"Caixa de som 400W",16936239,15,INABILITADO,UN,54059.85,3603.99
"Caixa de som 400W",16939412,5,INABILITADO,UN,18019.95,3603.99
"Mesa de som 10 canais",16936240,2,INABILITADO,UN,2777.94,1388.97
Computador,16936241,30,DESCLASSIFICADO,UNID,105880.5,3529.35
Computador,16939413,10,DESCLASSIFICADO,UNID,35293.5,3529.35
"Estabilizador 1000 VA",16936242,40,DESCLASSIFICADO,UNID,11022,275.55
"Impressora multifuncional jato de tinta tanque",16936243,20,PERDEU,UN,85893.6,4294.68
"Monitor para computador 24""",16936245,40,DESCLASSIFICADO,UND,53383.2,1334.58
"MOUSE OPTICO COM FIO",16936246,150,PERDEU,UND,15592.5,103.95
"Notebook 15.6""",16936247,30,DESCLASSIFICADO,UND,155584.8,5186.16
"Notebook 15.6""",16939420,10,DESCLASSIFICADO,UND,51861.6,5186.16
"Datashow (Retroprojetor)",16936248,10,PERDEU,UND,55723.5,5572.35
"TECLADO ABNT 2 - USB - PT BR",16936249,150,PERDEU,UND,14107.5,94.05
"Teclado Numérico",16936250,40,INABILITADO,UND,1716,42.9
"TELEVISOR SMART 50”",16936251,10,PERDEU,UN,31471.4,3147.14
"TELEVISOR SMART 65""",16936252,10,PERDEU,UND,45160.9,4516.09
"Software Windows 11",16936253,40,INABILITADO,UND,59400,1485
"Conector RJ9",16936254,300,DESCLASSIFICADO,UND,9900,33
"Conversor HDMI para VGA",16936255,50,INABILITADO,UND,660,13.2
"Fonte ATX 550W",16936256,50,DESCLASSIFICADO,UND,21367.5,427.35
Smartphone,16936257,30,PERDEU,UND,89053.8,2968.46
Smartphone,16939423,10,PERDEU,UND,29684.6,2968.46
