descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"BOLA DE BASQUETE",15139979,160,PERDEU,UND,25440,159
"BOLA DE VOLEIBOL",15139980,220,PERDEU,UNI,47080,214
"Blocos de Montar 1000 peças",15139988,200,PERDEU,UND,42598,212.99
"TÚNEL SANFONADO (EDUCAÇÃO INFANTIL)",15139989,50,PERDEU,UND,18250,365
"JOGO DA MEMÓRIA (EM MADEIRA)",15139995,200,PERDEU,UND,3120,15.6
"TRAVINHAS LIVRES (PAR)",15139997,130,PERDEU,PAR,27430,211
CRONÔMETRO,15139999,130,VENCEU,UNI,3120,24
"JOGO BAO E ONWESO",15140009,400,VENCEU,UND,26400,66
"JOGO FANORONA",15140011,400,VENCEU,UND,28000,70
"JOGO KHARBAGA",15140012,400,PERDEU,UND,28000,70
"JOGO OWARE",15140013,400,PERDEU,UND,24400,61
"JOGO SENET",15140014,400,VENCEU,UND,26800,67
"JOGO YOTÉ",15140016,400,PERDEU,UND,28000,70
"JOGO LAU KATI KATA",15140018,400,PERDEU,UND,12800,32
"JOGO QUEAH",15140019,400,PERDEU,UND,13000,32.5
"JOGO TSORO",15140021,400,VENCEU,UND,10400,26
"JOGO PASSA-PASSA",15140022,400,VENCEU,UND,6600,16.5
"JOGO TREBELHO 1",15140023,400,PERDEU,UND,6600,16.5
"JOGO TREBELHO 2",15140025,400,PERDEU,UND,12840,32.1
"JOGO BEZETTE",15140026,400,VENCEU,UND,33800,84.5
"JOGO DA ONÇA",15140027,400,PERDEU,UND,22700,56.75
