descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"AGRALE/8500 TCA(Nacional) 2010",14866303,3,PERDEU,UND,37500,10
"AGRALE/MASCA GRANMINI O(Nacional) 2010",14866304,3,VENCEU,UND,37500,67
"FORD/CARGO 1317 E(Nacional) 2010",14866305,6,VENCEU,UND,75000,73
"FORD/CARGO 1415(Nacional) 1990",14866306,1,VENCEU,UND,12500,75
"FORD CARGO 1723B  - 2020",14866307,1,PERDEU,UND,12500,10
"FORD/CARGO 2622 E(Nacional) 2009",14866308,9,PERDEU,UND,112500,10
"FORD/CARGO 2631 6X4(Nacional) 2019",14866309,2,VENCEU,UND,25000,45.5
"FORD/CARGO 712 (Nacional) 2010",14866310,1,VENCEU,UND,12500,49
"FORD/CARGO 815 E(Nacional) 2010",14866311,2,VENCEU,UND,25000,33.5
"FORD/CARGO 816 S (Nacional) 2013",14866312,1,VENCEU,UND,12500,28.5
"HYUNDAI HD80 - 2019",14866313,2,PERDEU,UND,25000,30
"HYUNDAI HD80 2021 - 2022",14866314,2,PERDEU,UN,25000,28.5
"IVECO/CITYCLASS 70C17 (Nacional) 2014",14866315,1,PERDEU,UND,12500,10
"IVECO/CITYCLASS 70C17 (Nacional) 2016",14866316,1,PERDEU,UND,12500,10
"IVECO/GRANCLASS 150S21E (Nacional) 2017",14866317,1,PERDEU,UND,12500,10
"IVECO TECTOR 17-280 (NACIONAL) 2020",14866318,1,PERDEU,UND,12500,10
"M.BENZ/710 (Nacional) 2001",14866319,1,PERDEU,UND,12500,25.5
"M.BENZ/L 1113(Nacional) 1978",14866320,1,PERDEU,UND,12500,10
"M.BENZ/L 608 D(Nacional) 1983",14866321,1,PERDEU,UND,12500,10
"M.BENZ/LS 1313(Nacional) 1979",14866322,1,PERDEU,UND,12500,10
"M. BENZ CAIO LO 916.ORE 2023 Ônibus.",14866323,1,VENCEU,UN,12500,25.5
"MARCOPOLO/VOLARE W9 ON (Nacional) 2009",14866324,2,PERDEU,UND,25000,10
"REBOQUE GUERRA BAÚ",14866325,1,PERDEU,UND,12500,10
"REBOQUE PRANCHA",14866326,1,VENCEU,UND,12500,25.5
"SCANIA/K113 TL 6X2 360 (Nacional) 1997",14866327,1,PERDEU,UND,12500,10
"VW/ÔNIBUS/15.190 EOD E.S.ORE (Nacional) 2011 – 2013",14866328,5,VENCEU,UND,62500,26
"VW/17.280 CRM 4X2 4P (Nacional) 2014",14866329,1,PERDEU,UND,12500,27
"VW/24.250 CNC 6X2 (Nacional) 2008",14866330,1,PERDEU,UND,12500,10
"VW/26.390 CTC 6X4 CARRETA 2012",14866331,1,PERDEU,UN,12500,10
"VW/6.160 DRC 4X2(Nacional) 2019",14866332,1,PERDEU,UND,12500,10
"VW/8.120 EURO3(Nacional) 2008",14866333,1,PERDEU,UND,12500,10
"VW/8.150(Nacional) 2004",14866334,1,PERDEU,UND,12500,10
"VW/8.150E DELIVERY(Nacional) 2008",14866335,3,PERDEU,UND,37500,10
"VW/9.150E CUMMINS(Nacional) 2009",14866336,1,PERDEU,UND,12500,10
"VW/CONSTELLATION 17.230(Nacional) 2020",14866337,1,PERDEU,UN,12500,10
"VW/MPOLO SENIOR GVO(Nacional) 2004",14866338,1,PERDEU,UND,12500,10
"VW/NEOBUS THUNDER(Nacional) 2003",14866339,2,PERDEU,UND,25000,10
"VW/NEOBUS THUNDER FR 2022",14866340,3,PERDEU,UND,37500,10
"VW/NEOBUS MINI TR ESCOLAR - 2020",14866341,3,PERDEU,UND,37500,10
