descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Acalcador de Banda c Ponta Quadrada",14868323,15,PERDEU,UNI,336,22.4
"Acalcador de Banda c Ponta Triangular Invertida",14868324,15,VENCEU,UN,206.85,13.79
"Acalcador de Banda c Ponta triangular.",14868325,15,PERDEU,UN,300,20
"Afastador de Minessota",14868326,80,PERDEU,UNI,1319.2,16.49
"Alavanca apical curva Esquerda",14868327,50,PERDEU,UN,1706,34.12
"Alavanca apical curva Direita",14868328,50,PERDEU,UN,1524.5,30.49
"Alavanca apical reta",14868329,50,PERDEU,UNI,1612,32.24
"Alavanca Seldin tipo bandeirinha Direita N 1R",14868330,100,PERDEU,UN,3171,31.71
"Alavanca Seldin tipo bandeirinha Esquerda N 1L",14868331,100,PERDEU,UN,3270,32.7
"Alavanca Seldin Reta",14868332,200,PERDEU,UN,5728,28.64
"Alicate Ortodôntico 139",14868333,10,PERDEU,UNI,1293,129.3
"Alicate Ortodôntico Bico Chato 121",14868334,10,PERDEU,UN,1063.5,106.35
"Alicate Ortodôntico Bico De Papagaio 137",14868335,10,PERDEU,UNI,1115.6,111.56
"Alicate ortodôntico conformador de bandas",14868336,10,PERDEU,UNI,1289.5,128.95
"Alicate Ortodôntico 151 corte amarrilho com Widea",14868337,10,PERDEU,UND,4846.5,484.65
"alicate ortodôntico corte pesado com widea",14868338,10,PERDEU,UNID,4705,470.5
"Alicate Ortodôntico De La Rosa 109",14868339,10,PERDEU,UNI,1155.1,115.51
"Alicate ortodontico Jarabak 755",14868340,10,PERDEU,UNI,5176.6,517.66
"Alicate Ortodôntico Removedor de Bráquete 346R",14868341,10,PERDEU,UN,1656.7,165.67
"Alicate ortodôntico saca banda 347",14868342,10,PERDEU,UNI,1220,122
"Alicate Ortodôntico Tridente 200",14868343,10,PERDEU,UN,1130,113
"Alicate ortodôntico universal 325",14868344,10,PERDEU,UN,1130,113
"Alicate ortodôntico weingart curvo 120",14868345,10,PERDEU,UNI,2674.5,267.45
"Alicate ortodôntico weingart reto 120",14868346,10,PERDEU,UNI,2674.5,267.45
"Alicate perfurador Ainsworth-5 furos",14868347,10,PERDEU,UN,983.4,98.34
"Alveolótomo curvo 16cm",14868348,25,PERDEU,UN,2654,106.16
"Aplicador de dycal,  angulado, duplo em aço inox",14868349,100,PERDEU,UND,12535,125.35
"Arco Ostby Adulto",14868350,20,PERDEU,UN,213.6,10.68
"Arco Ostby Adulto dobrável",14868351,10,PERDEU,UN,79,7.9
"Arco Ostby infantil dobrável",14868352,10,PERDEU,UN,96.2,9.62
"Bandeja p esterilização fabricada em aço inox",14868355,500,PERDEU,UND,32000,64
"CABO P/ ESPELHO ODONTOLOGICO",14868356,1000,PERDEU,UNI,18090,18.09
"Cabo para bisturi em aço inox, nº3",14868357,150,PERDEU,UN,1770,11.8
"Cabo Para Bisturi Redondo lâmina unica",14868358,10,VENCEU,UN,1042.9,104.29
"Cabo Para Bisturi redondo Para Lâmina Dupla",14868359,10,VENCEU,UN,1050.9,105.09
"CANETA DE ALTA ROTACAO",14868360,110,PERDEU,UN,129250,1175
"Calcador de banda",14868361,10,PERDEU,UNI,417,41.7
"Calcador Paiva n1",14868363,10,PERDEU,UN,104.7,10.47
"Calcador Paiva n2",14868364,10,PERDEU,UND,121.4,12.14
"Calcador Paiva Kit com 4 unidade (nº1; 2; 3; 4)",14868365,10,PERDEU,KIT,417.2,41.72
"Cinzel micro Ochsenbein nº 1",14868366,10,PERDEU,UN,651.9,65.19
"Conjunto de CONTRA ÂNGULO E MICRO MOTOR",14868368,50,PERDEU,UN,105500,2110
"Cuba Inox Redonda. Autoclavável",14868370,50,PERDEU,UN,1058.5,21.17
"Cureta de Lucas nº 85",14868371,100,PERDEU,UN,1395,13.95
"Cureta dentina (escavador), nº 05 PEQUENA",14868372,120,PERDEU,UN,1573.2,13.11
"Cureta dentina (escavador)nº20, GRANDE",14868373,100,PERDEU,UNI,1148,11.48
"CURETA GRACEY 11-12 - EM AÇO INOX",14868374,50,PERDEU,UNI,2239,44.78
"CURETA GRACEY 13-14 - EM AÇO INOX",14868375,50,PERDEU,UNI,2495,49.9
"CURETA GRACEY 5-6 - EM AÇO INOX",14868376,50,PERDEU,UN,2501.5,50.03
"CURETA GRACEY 7-8 - EM AÇO INOX",14868377,50,PERDEU,UNI,2556,51.12
"Cureta Maccall 17-18 em aço inox",14868378,50,PERDEU,UN,2624,52.48
"Descolador cirurgico Molt Nº 09",14868379,50,PERDEU,UNI,1296,25.92
"Descolador cirúrgico Molt 2/4",14868380,50,PERDEU,UN,1188.5,23.77
"Descolador Freer Duplo",14868381,10,PERDEU,UN,452.8,45.28
"Dobrador de Amarrilho ponta preta e curva Sputnik",14868382,10,PERDEU,UND,210.7,21.07
"Espatula 24",14868383,50,PERDEU,UN,551.5,11.03
"Espatula 7",14868384,20,PERDEU,UNI,236.2,11.81
"Espátula de inserção dupla p/ resina n° 1",14868385,300,PERDEU,UN,30018,100.06
"Espátula Lecron",14868386,20,PERDEU,UN,280.4,14.02
"Espátula para Gesso de inox",14868387,20,PERDEU,UN,328,16.4
"Espátula para manipulação dupla nº 72",14868388,100,PERDEU,UND,1184,11.84
"Espátula Para Resina com Calcador N° 3",14868389,300,PERDEU,UN,30399,101.33
"Espátula plástica para alginato",14868390,10,PERDEU,UN,22,2.2
"Espelho bucal Nº3",14868391,80,PERDEU,UN,716,8.95
"Espelho bucal Nº5",14868392,80,PERDEU,UN,744,9.3
"Estojo Endodontico 24 furos 07x06x05cm",14868393,10,PERDEU,UN,1742,174.2
"Estojo Endodontico 48 furos 20x10x5cm",14868394,10,PERDEU,UN,1482.3,148.23
"Estojo Inox Perfurado 26x12x06",14868395,10,PERDEU,UN,1314.7,131.47
"Fórceps nº18 L",14868396,100,PERDEU,UN,7888,78.88
"FÓRCEPS 18R",14868397,100,PERDEU,UNID,7041,70.41
