descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Aparelho telefônico com fio",16424327,82,INABILITADO,UND,6396,78
"Aparelho telefônico convencional de mesa, sem fio",16424328,64,INABILITADO,UN,12032,188
"Apontador COM DEPÓSITO.",16424329,465,INABILITADO,UND,8635.05,18.57
"BALAO n°7",16424331,5101,INABILITADO,PCT,47643.34,9.34
"BANDEJA Acrílica dupla fixa",16424332,380,INABILITADO,UND,15811.8,41.61
"Bastão de Cola Quente Grosso",16424334,4760,INABILITADO,UND,9520,2
"Bateria Alcalina 1,5V LR44/A76/AG13",16424335,165,INABILITADO,CAR,574.2,3.48
"Bateria ALCALINA, 9 volts",16424336,525,INABILITADO,CAR,7743.75,14.75
"Bloco de recado autoadesivo",16424337,1545,INABILITADO,PCT,6952.5,4.5
"BOBINA DE SENHA NUMERICA 00 a 99",16424340,370,INABILITADO,UND,7555.4,20.42
"BOBINA DE SENHA NUMERICA 000 a 999",16424341,370,INABILITADO,UND,7152.1,19.33
"bobina de saco plastico transparente.",16424342,2592,INABILITADO,UND,69050.88,26.64
"bobina de saco plastico transparente.",16425702,864,INABILITADO,UND,23016.96,26.64
"Borracha (amarradilha) para dinheiro nº 18",16424344,2020,INABILITADO,PCT,8746.6,4.33
"Borracha apagadora escritas branca escolar - nº 40",16424345,126,INABILITADO,CX,1855.98,14.73
"Borracha de vinil para grafite  de apagar",16424346,390,INABILITADO,UND,877.5,2.25
"Caderno brochura (pequeno) 1/4 capa dura",16424347,750,INABILITADO,UND,3562.5,4.75
"Caderno espiral (pequeno) 1/4 capa dura",16424348,900,INABILITADO,UND,4212,4.68
"Caderno Pequeno brochura.",16424349,1430,INABILITADO,UND,2688.4,1.88
"Caderno Brochurão com capa Flexível",16424350,1420,INABILITADO,UND,8378,5.9
"Caderno Universitario capa dura.",16424351,970,INABILITADO,UND,8962.8,9.24
"Caixa de arquivo morto.",16424352,3050,INABILITADO,UND,14945,4.9
"CAIXA organizadora alta transparente  30 litros",16424354,335,INABILITADO,UND,16592.55,49.53
"CAIXA organizadora baixa transparente retangular 10 lt.",16424355,295,INABILITADO,UND,2950,10
"Caixa organizadora",16424356,315,INABILITADO,UN,12568.5,39.9
"Caixa organizadora média 20,39 litros  em polipropileno",16424357,405,INABILITADO,UND,18638.1,46.02
"Caixa para correspondencia .",16424358,270,INABILITADO,UND,21573,79.9
"Calculadora de mesa 12 digitos",16424359,512,INABILITADO,UND,11141.12,21.76
"Caneta destaca texto, material plástico com pontas macias chanfrada 2mm,não recarregável, cor fluorescentes amarela/azul/rosa/laranja/verde e vermelha.",16424360,1092,INABILITADO,CX,13005.72,11.91
"Caneta esferográfica",16424361,802,INABILITADO,CX,41519.54,51.77
"caneta esferográfica na cor preta",16424362,341,INABILITADO,CX,18038.9,52.9
"Caneta esferográfica VERDE ponta fina, corpo cilíndrico ou sextavado, ou outro formato anatômico.",16424363,70,INABILITADO,CX,3671.5,52.45
"caneta esferográfica na cor vermelha",16424364,156,INABILITADO,CX,5728.32,36.72
"Caneta Hidrografica",16424365,274,INABILITADO,CX,2712.6,9.9
"CANETA PARA RETROPROJETOR",16424366,430,INABILITADO,UND,3255.1,7.57
"Cartolina com gramatura mínima 180/gm2, tamanho 500X660mm",16424367,5750,INABILITADO,UND,8337.5,1.45
"Cartolina tamanho ofício.",16424368,2870,INABILITADO,PCT,48646.5,16.95
