descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Aspirador de secreção elétrico portátil",15969888,1,DESCLASSIFICADO,UND,700,700
"Balança antropométrica digital adulto obeso",15969889,1,PERDEU,UN,1980,1980
"Balança digital (eletrônica) pediátrica",15969890,1,PERDEU,UN,863.35,863.35
"Suporte para Braçadeira para injeção, coleta exames",15969891,2,PERDEU,UN,589.68,294.84
"Biombo hospitalar triplo, dobrável, cortinas impermeáveis, com rodízios",15969892,3,PERDEU,UN,3492.54,1164.18
"Cadeira de rodas manual adulto",15969893,2,PERDEU,UND,4966.66,2483.33
"Escadinha hospitalar com 02 degraus em aço inox",15969895,8,DESCLASSIFICADO,UNI,1832,229
"Suporte de soro em aço inox, 4 ganchos em X na parte superior",15969897,4,DESCLASSIFICADO,UN,1496,374
"Mesa ginecológica elétrica, estofada, revestimento impermeável, na cor azul marinho ou preta",15969899,1,PERDEU,UND,25300.3,25300.3
"Mesa para exame clínico com suporte para rolo papel lençol",15969900,10,DESCLASSIFICADO,UN,7990,799
"Mesa auxiliar hospitalar tipo mayo em aço inox",15969901,10,PERDEU,UND,5073,507.3
"Carro de curativos aço inox",15969902,1,PERDEU,UN,1486.43,1486.43
"Oximetro de Pulso Portátil de mesa, com Curva Pletismografica, base móvel com carregador",15969903,6,PERDEU,UN,35401.8,5900.3
"Mocho giratório com encosto alto e rodízios com trava em diagonal",15969915,4,PERDEU,UND,2222,555.5
"Aparelho Nebulizador portatil",15969917,2,PERDEU,UNI,469.9,234.95
"Otoscópio iluminação Led, com 5 espéculos reutilizáveis (esterilizáveis)",15969918,4,PERDEU,UND,4151.2,1037.8
"Estetoscópio adulto duo sonic",15969919,6,PERDEU,UNI,927,154.5
"Estetoscópio pediátrico duo sonic",15969920,2,PERDEU,UNI,378,189
"Esfigmomanômetro aneroide adulto completo",15969921,4,DESCLASSIFICADO,UND,836,209
"Esfigmomanômetro aneroide adulto obeso completo (aparelho para aferição de pressão arterial), manual",15969922,2,DESCLASSIFICADO,UND,398,199
"Esfigmomanômetro aneroide infantil, completo, em nylon com velcro",15969923,2,DESCLASSIFICADO,UND,182,91
"Mesa auxiliar hospitalar retangular em aço inox, com dois planos (prateleira) e rodízios",15969924,3,PERDEU,UND,2745.54,915.18
"Negatoscópio de 1 corpo, de parede, iluminação LED",15969925,4,PERDEU,UN,2370,592.5
"Bandeja hospitalar lisa retangular, em aço inox 304 (18/8), para uso médico-hospitalar, tamanho 30x20x4cm, livre de rebarbas",15969927,4,PERDEU,UND,740,185
"Bandeja hospitalar lisa retangular, em aço inox 304 (18/8), para uso médico-hospitalar, tamanho 35x25x4cm, livre de rebarbas",15969928,4,DESCLASSIFICADO,UND,916,229
"Cuba uso hospitalar, formato tipo rim capac. 740 ml, em aço Inox Medidas: 26 cm x 12 cm x 6 cm",15969929,4,PERDEU,UND,390.72,97.68
