descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Pneu 215/60 R16",15786962,60,PERDEU,UND,27600,460
"PNEU 215/65/R16",15786963,80,PERDEU,UND,42400,530
"Pneu 205/65 R16",15786964,60,PERDEU,UND,28800,480
"PNEU 185/65/R14",15786965,60,PERDEU,UND,25140,419
"PNEU 185/70/R14",15786966,16,VENCEU,UND,6800,425
"Pneu 185 R14C - 102/100R",15786967,8,PERDEU,UND,3960,495
"Pneu 265/60 R18",15786968,40,PERDEU,UND,27600,690
"PNEU 215/65/R17",15786969,16,PERDEU,UN,9440,590
"Pneu 225/55 R18",15786970,12,PERDEU,UND,7560,630
"PNEU 185/65 R 15",15786971,12,PERDEU,UND,3888,324
"PNEU 165/70 R13",15786972,8,PERDEU,UN,2608,326
"PNEUS 195/55 R 15",15786973,8,PERDEU,UND,2688,336
"PNEU 255/70/R16",15786974,8,VENCEU,UND,5840,730
"Pneu 215/75 R17.5 127/124 M",15786975,12,PERDEU,UND,10680,890
"Pneu 225/75 R16C 118/116 R",15786976,12,PERDEU,UND,9816,818
"Pneu 275/80 R22.5",15786977,12,PERDEU,UND,23640,1970
"PNEU 235/55 R19",15786978,12,VENCEU,UN,9264,772
"Pneu 120/80 R18 Traseiro",15786979,15,VENCEU,UND,4425,295
"Pneu 90/90 R21 Dianteiro",15786980,25,VENCEU,UND,7675,307
"Pneu 110/80 R18 Traseiro",15786981,15,VENCEU,UND,5070,338
"Pneu 150/70 R17 Traseiro",15786982,15,VENCEU,UND,7740,516
