descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"ACETILCISTEINA 600MG/ENV5GR.",16295798,50000,DESCLASSIFICADO,SACH,112505,2.2501
"Aciclovir 200 mg cpr, em blister.",16295799,180000,DESCLASSIFICADO,COMP,405054,2.2503
"Aciclovir 50 mg/g creme, bisnaga 10gr.",16295800,5000,DESCLASSIFICADO,BIS,92772.5,18.5545
"Ácido Acetilsalicilico 100mg cpr, em blister.",16295801,2200000,DESCLASSIFICADO,COMP,110000,0.05
"Ácido Ascórbico 100mg/mL, injetável, ampola 5ml.",16295802,8000,DESCLASSIFICADO,AMP,8320,1.04
"Ácido fólico 5mg cpr, em blister.",16295803,550000,DESCLASSIFICADO,COMP,22000,0.04
"Ácido fólico 0,2mg/ml, solução oral, frasco 30ml.",16295804,5000,DESCLASSIFICADO,FR.,15650,3.13
"Ácido folinico 15mg cpr, em blister.",16295805,3000,DESCLASSIFICADO,COMP,9510.9,3.1703
"Ácido tranexâmico 50mg/ml amp 5ml.",16295806,1000,DESCLASSIFICADO,AM,6669.3,6.6693
"Ácido Valproico 250mg capsula.",16295807,400000,DESCLASSIFICADO,CPLA,348320,0.8708
"Ácido Valproico 500mg cpr.",16295808,650000,DESCLASSIFICADO,COMP,960440,1.4776
"Ácido Valproico 50mg/mL, xarope, com copo-medida, frasco 100ml.",16295809,6500,DESCLASSIFICADO,FRA,81317.6,12.5104
"Adenosina 3mg/mL, injetável, ampola 2ml.",16295810,2000,DESCLASSIFICADO,AMP,26758,13.379
"Epinefrina 1mg/mL (adrenalina), injetável, ampola 1ml.",16295811,5000,DESCLASSIFICADO,AMP,7300,1.46
"Água destilada 10mL ampola.",16295812,30000,DESCLASSIFICADO,AMP,9900,0.33
"Água destilada 5mL ampola.",16295813,36000,DESCLASSIFICADO,AMP,12391.2,0.3442
"Albendazol 400mg comprimido mastigável, em blister.",16295814,18000,DESCLASSIFICADO,COMP,8280,0.46
"Albendazol 400mg/mL suspensão oral, frasco 10ml.",16295815,30000,DESCLASSIFICADO,FR.,35400,1.18
"Alendronato de sódio 70mg, blister com 4cpr.",16295816,25000,DESCLASSIFICADO,COMP,332755,13.3102
"Alopurinol 100mg cpr, em blister.",16295817,750000,DESCLASSIFICADO,COMP,93675,0.1249
"Aminofilina 100mg, em blister.",16295818,1000,DESCLASSIFICADO,COMP,56.9,0.0569
"Aminofilina 24mg/mL, injetável, ampola 10ml.",16295819,200,DESCLASSIFICADO,AMP,1217.56,6.0878
"Amiodarona 200mg cpr, em blister.",16295820,200000,DESCLASSIFICADO,COMP,78000,0.39
"Amiodarona, cloridrato 50mg/mL, injetável, ampola 3ml.",16295821,3000,DESCLASSIFICADO,AMP,7290,2.43
"Amoxicilina 250mg/5mL (50mg/ml) suspensão oral, acompanha copo-medida, 60ml após reconstituição.",16295823,16000,DESCLASSIFICADO,FRA,61539.2,3.8462
"Amoxicilina 250mg+ Ácido clavulânico 62,5mg/mL, acompanha copo-medida, 75ml após reconstituição",16295824,20000,DESCLASSIFICADO,FRA,1215422,60.7711
"Amoxicilina 500mg+ Ácido clavulânico 125mg, comprimido, em blister.",16295826,550000,DESCLASSIFICADO,COMP,3525280,6.4096
"Ampicilina 500mg, capsula, em blister.",16295827,3000,DESCLASSIFICADO,CPLA,1655.7,0.5519
"Anlodipino, besilato 5mg cpr, em blister.",16295828,2200000,DESCLASSIFICADO,COMP,88000,0.04
"Atenolol 50mg cpr, em blister.",16295829,1500000,DESCLASSIFICADO,COMP,90000,0.06
"Atropina 0,25mg/mL, injetável, ampola 1ml.",16295830,4000,DESCLASSIFICADO,AMP,7320,1.83
"Azitromicina 200mg/5mL (40mg/ml) suspensão oral, 15ml após reconstituição.",16295831,16000,DESCLASSIFICADO,FR,397358.4,24.8349
"Azitromicina 500mg. Blister com 01 comprimido, ou acondicionado de forma unitarizada, delimitada por picotes,  constando em cada unidade de comprimido a seguinte informação: nome do princípio ativo, dosagem, lote e validade.",16295832,150000,DESCLASSIFICADO,COMP,127485,0.8499
"Beclometasona 250mcg/dose- frasco 200 doses aerossol oral.",16295833,1000,DESCLASSIFICADO,FRA,52674.7,52.6747
"Beclometasona 50mcg/dose- frasco 200 doses aerossol oral.",16295834,1000,DESCLASSIFICADO,FRA,25626.5,25.6265
"BENZILPENICILINA BENZATINA 1.200.000 UI.",16295835,10000,DESCLASSIFICADO,FR/AM,147711,14.7711
"Betametasona, diproprionato +  betametasona fosfato, injetável, ampola 1ml.",16295837,18000,DESCLASSIFICADO,AMP,414433.8,23.0241
"Bicarbonato de sódio 8,4%, injetável, ampola 10ml.",16295838,600,DESCLASSIFICADO,AMP,479.22,0.7987
"Brometo de ipratrópio 0,250mg/mL solução para inalação, frasco 20ml.",16295841,2000,DESCLASSIFICADO,FRA,2960,1.48
"Brometo de N-butilescopolamina 20mg/mL injetável, ampola 1ml.",16295842,10000,DESCLASSIFICADO,AMP,14512,1.4512
"Brometo de N-butilescopolamina 4mg/mL + dipirona sódica 500mg, injetável, ampola 5ml.",16295843,14000,DESCLASSIFICADO,AM,31780,2.27
"Captopril 25mg cpr, em blister.",16295849,1200000,DESCLASSIFICADO,COMP,771840,0.6432
"Carbamazepina 200mg cpr. Blíster com 10 ou 15 comprimidos.",16295850,1300000,DESCLASSIFICADO,COMP,209820,0.1614
"Carbamazepina 20mg/mL (2 %) - suspensão oral, frasco 100ml.",16295851,4000,DESCLASSIFICADO,FR.,59569.2,14.8923
"CARBONATO DE CALCIO 1250MG - EQUIVALENTE A 500MG CA++ ELEMENTAR BLISTER",16295852,200000,DESCLASSIFICADO,COMP,27700,0.1385
"Carbonato de cálcio 500+vitamina D 400 UI blister de no minimo 15cpr.",16295853,1000000,DESCLASSIFICADO,COMP,100000,0.1
"Carbonato de lítio 300mg cpr, em blister.",16295854,500000,DESCLASSIFICADO,COMP,248200,0.4964
"Carvão ativado 1kg, pacote.",16295855,5,DESCLASSIFICADO,PCT,211.54,42.3077
"Carvedilol 12,5 mg cpr, em blister.",16295856,250000,DESCLASSIFICADO,COMP,350400,1.4016
"Carvedilol 25 mg cpr, em blister.",16295857,280000,DESCLASSIFICADO,COMP,665588,2.3771
"Carvedilol 3,125 mg cpr, em blister.",16295858,60000,DESCLASSIFICADO,COMP,63420,1.057
"Carvedilol 6,25 mg cpr, em blister.",16295859,180000,DESCLASSIFICADO,COMP,218322,1.2129
"Cefalexina 500mg, capsula ou comprimido, em blister.",16295860,500000,DESCLASSIFICADO,CAP/C,1118050,2.2361
"Cefalexina 50mg/mL suspensão oral, frasco 60ml após reconstituição.",16295861,9000,DESCLASSIFICADO,FR,58500,6.5
"Ceftriaxona 500 mg intramuscular (IM) injetável.",16295862,3000,DESCLASSIFICADO,FR/AM,67011.9,22.3373
"Ceftriaxona 1G intramuscular (IM) injetável.",16295863,1500,DESCLASSIFICADO,FR/AM,176385.6,117.5904
"Cimetidina 150mg/ml, ampola 2ml.",16295865,8000,DESCLASSIFICADO,AM,13920,1.74
"Claritromicina 500mg capsula ou comprimido, em blister.",16295868,90000,DESCLASSIFICADO,COMP,179100,1.99
"Clindamicina 300mg capsula, em blister.",16295869,8000,DESCLASSIFICADO,CPLA,12640,1.58
"Clonazepam 2,5mg/mL , 20ml, FRASCO 20ml.",16295870,8000,DESCLASSIFICADO,FRA,21280,2.66
"Clopidogrel 75mg comprimido revestido, em blister.",16295875,280000,DESCLASSIFICADO,COMP,89600,0.32
"Cloreto de potássio 19,1%, injetável, ampola 10ml.",16295877,600,DESCLASSIFICADO,AMP,376.62,0.6277
"Cloreto de sódio 0,9%, solução nasal, frasco 30ml.",16295878,5000,DESCLASSIFICADO,FR.,26682.5,5.3365
"Cloreto de sódio 0,9%, sistema ABERTO, frasco 250ml.",16295879,32000,DESCLASSIFICADO,FR.,60800,1.9
"Cloreto de sódio 0,9%, ampola 10ml.",16295880,28000,DESCLASSIFICADO,AMP,12922,0.4615
"Cloreto de sódio 20%, ampola 10ml.",16295881,600,DESCLASSIFICADO,AMP,300,0.5
"Dexametasona 0,1% creme, bisnaga 10 a 15g.",16295887,24000,DESCLASSIFICADO,BIS,150871.2,6.2863
"Dexametasona, fosfato de dissódico 4mg/ml injetável, ampola 2,5mL.",16295888,25000,DESCLASSIFICADO,AM,45250,1.81
"Dexametasona 4mg cpr, em blister.",16295889,20000,DESCLASSIFICADO,COMP,5000,0.25
"Diazepam 5mg/mL solução injetável, ampola 2ml.",16295892,4000,DESCLASSIFICADO,AMP,4000,1
"Diclofenaco sódico 25mg/mL, ampola 3ml.",16295893,15000,DESCLASSIFICADO,AMP,15000,1
"Diclofenaco sódico 50mg cpr, em blister.",16295894,550000,DESCLASSIFICADO,COMP,38500,0.07
"Digoxina 0,25mg cpr, em blister.",16295895,150000,DESCLASSIFICADO,COMP,68310,0.4554
"Dimenidrinato 30 mg + piridoxina, cloridrato 50 mg + dextrose 1000 mg + d-frutose 1000 mg injetável Endovenoso (EV), ampola 10ml.",16295897,1000,DESCLASSIFICADO,AM,8244,8.244
"Simeticona 75mg/mL solução oral, frasco 10ml.",16295898,18000,DESCLASSIFICADO,FR.,31860,1.77
"Dipirona 500mg cpr, em blister.",16295899,3000000,DESCLASSIFICADO,COMP,480000,0.16
"Dipirona 500mg/ml, injetável, ampola 2ml.",16295900,26000,DESCLASSIFICADO,AMP,36140,1.39
