descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"CITROEN JUMPER M35LH 23S 2013",16825718,1,PERDEU,UN,3982.4,10.05
"FIAT DUCATO MAXICARGO 2021",16825719,1,PERDEU,UN,3982.3,10.05
"FIAT DUCATO VAN MINIBUS 2.3 Multijet Economy 16v 2014 – 2021",16825720,2,PERDEU,UND,7964.6,10.05
"FIAT SCUDO CARGO TD 2023",16825721,1,PERDEU,UN,3982.3,10.05
"GM S-10 CAB. DUPLA COLINA 2.8 Turbo Diesel 4x4 2009",16825722,1,PERDEU,UND,3982.3,10.05
"GM S-10 RODEIO 2.8 D 4X4 DIESEL 2011",16825723,1,PERDEU,UND,3982.3,10.05
"GM S-10 LT DD4 2015",16825724,1,VENCEU,UND,3982.3,21
"HYUNDAI HR HDB 2013 - 2020",16825725,8,VENCEU,UND,31858.4,21
"IVECO CAMIN. FURGÃO DAILY 35s14 HDG FURGÃO 2018",16825726,1,PERDEU,UND,3982.3,10.05
"KIA BONGO K2500 LD 2009",16825727,1,PERDEU,UND,3982.3,10.05
"KIA BONGO UK2500 HD 2021 - 2022",16825728,2,PERDEU,UN,7964.6,10.05
"M. BENZ 416 CDI SPRINTER FURGÃO 2021",16825729,2,PERDEU,UND,7964.6,10.05
"M. BENZ 415 EUROLAF AMB 2018",16825730,1,VENCEU,UND,3982.3,20.01
"M. BENZ CDI SPRINTER TCA AMB 2019 – 2021",16825731,4,VENCEU,UND,15929.2,20
"M. BENZ 515 CDI SPRINTER MICROONIBUS 2019",16825732,1,PERDEU,UND,3982.3,10.05
"M. BENZ 515 CDI SPRINTER TCA AMB 2019",16825733,2,PERDEU,UND,7964.6,10.05
"M. BENZ 516 CDI SPRINTER MICROONIBUS 2021",16825734,1,PERDEU,UND,3982.3,10.05
"M. BENZ 415 CDI SPRINTER FURGÃO 2018",16825735,1,PERDEU,UND,3982.3,10.05
"M. BENZ 415 CDI SPRINTER MICROONIBUS 2019",16825736,1,PERDEU,UND,3982.3,10.05
"NISSAN FRONTIER SV ATTACK AT. 4x4 2.5 Turbo-Diesel 174cv 2015",16825737,1,VENCEU,UND,3982.3,22
"PEUGEOT BOXER M350 LH  2.3 126cv TB Diesel 2015",16825738,3,VENCEU,UND,11946.9,21
"PEUGEOT BOXER BUSIN L3 2021",16825739,1,PERDEU,UND,3982.3,10.05
"PEUGEOT BOXER EUROLAF 2021",16825740,2,PERDEU,UND,7964.6,10.05
"RENAULT MASTER ROTANAMB FURGÃO 2.5 16v Diesel 2016",16825741,2,PERDEU,UND,7964.6,10.05
"RENAULT MASTER EURO AMB FURGÃO 2017",16825742,1,VENCEU,UND,3982.3,19.5
"RENAULT MASTER FURGÃO L2H2 2.5 16V DIESEL 2020",16825743,2,PERDEU,UND,7964.6,10.05
"AGRALE/8500 TCA(Nacional) 2010",16825744,3,PERDEU,UND,11946.9,10.05
"AGRALE/MASCA GRANMINI O(Nacional) 2010",16825745,2,PERDEU,UND,7964.6,10.05
"FORD/CARGO 1317 E(Nacional) 2010",16825747,6,VENCEU,UND,23893.8,19.5
"FORD/CARGO 1415(Nacional) 1990",16825748,1,PERDEU,UND,3982.3,10.05
"FORD/CARGO 1723B 2020",16825749,1,PERDEU,UND,3982.3,11.5
"FORD/CARGO 2622 E(Nacional) 2009",16825750,9,VENCEU,UND,35840.7,20.01
"FORD/CARGO 2631 6X4(Nacional) 2019",16825751,2,PERDEU,UND,7964.6,10.05
"FORD/CARGO 712 (Nacional) 2010",16825752,1,PERDEU,UND,3982.3,10.05
"FORD/CARGO 815 E(Nacional) 2010",16825753,2,PERDEU,UND,7964.6,10.05
"FORD/CARGO 816 S (Nacional) 2013",16825754,1,PERDEU,UND,3982.3,10.05
"HYUNDAI HD80 2019",16825755,2,PERDEU,UND,7964.6,10.05
"HYUNDAI HD80 2021 - 2022",16825756,2,PERDEU,UN,7964.6,10.05
"IVECO/CITYCLASS 70C17 (Nacional) 2014",16825757,1,PERDEU,UND,3982.3,10.05
"IVECO/CITYCLASS 70C17 (Nacional) 2016",16825758,1,PERDEU,UND,3982.3,10.05
"IVECO/GRANCLASS 150S21E (Nacional) 2017",16825759,1,PERDEU,UND,3982.3,10.05
"IVECO TECTOR 17-280 (NACIONAL) 2020",16825760,1,PERDEU,UND,3982.3,10.05
"M.BENZ/710 (Nacional) 2001",16825761,1,PERDEU,UND,3982.3,10.05
"M.BENZ/L 608 D(Nacional) 1983",16825762,1,PERDEU,UND,3982.3,10.05
"M.BENZ/LS 1313(Nacional) 1979",16825763,1,PERDEU,UND,3982.3,10.05
"M. BENZ CAIO LO 916.ORE 2023",16825764,1,PERDEU,UND,3982.3,10.05
"MARCOPOLO/VOLARE W9 ON (Nacional) 2009",16825765,2,PERDEU,UND,7964.6,10.05
"SCANIA/K113 TL 6X2 360 (Nacional) 1997",16825766,1,PERDEU,UND,3982.3,10.05
"VW/ÔNIBUS/15.190 EOD E.S.ORE (Nacional) 2011 – 2013",16825767,5,PERDEU,UND,19911.5,10.05
"VW/17.280 CRM 4X2 4P (Nacional) 2014",16825768,1,PERDEU,UND,3982.3,10.05
"VW/24.250 CNC 6X2 (Nacional) 2008",16825769,1,VENCEU,UND,3982.3,20.01
"VW/26.390 CTC 6X4 2012",16825770,1,VENCEU,UND,3982.3,20.01
"VW/6.160 DRC 4X2(Nacional) 2019",16825771,1,PERDEU,UND,3982.3,10.05
"VW/8.120 EURO3(Nacional) 2008",16825772,1,PERDEU,UND,3982.3,10.05
"VW/8.150(Nacional) 2004",16825773,1,PERDEU,UND,3982.3,10.05
"VW/8.150E DELIVERY(Nacional) 2008",16825774,3,VENCEU,UND,11946.9,20.01
"VW/9.150E CUMMINS(Nacional) 2009",16825775,1,PERDEU,UND,3982.3,10.05
"VW/CONSTELLATION 17.230(Nacional) 2020",16825776,1,PERDEU,UN,3982.3,10.05
"VW/MPOLO SENIOR GVO(Nacional) 2004",16825777,1,PERDEU,UND,3982.3,10.05
"VW/NEOBUS THUNDER(Nacional) 2003",16825778,2,VENCEU,UND,7964.6,19.5
"VW/NEOBUS THUNDER FR 2022",16825779,3,VENCEU,UND,11946.9,20.01
"VW/NEOBUS MINI TR ESCOLAR 2020",16825780,3,VENCEU,UND,11946.9,20.01
