descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"TINTA BRANCO BANCHISA POLIURETANO 3,6L",15454368,60,VENCEU,UND,5334,88.9
"TINTA ESMALTE SINT PLUS BRANCO ACABAMENTO 3,6L",15454369,40,VENCEU,UND,2200,55
"TINTA ESMALTE SINT PLUS PRETO FOSCO 3,6L",15454370,50,VENCEU,UND,3150,63
"TINTA ESMALTE SINT PLUS PRETO CHASSIS SEMI BI 3,6L",15454371,50,VENCEU,UND,2950,59
"FUNDO PU 8200 S/CAT CINZA 900ML",15454372,120,PERDEU,UND,3588,29.9
"TINTA VERDE FOLHA SINTETICO FORD 3,6L",15454373,30,PERDEU,UND,3960,132
"THINNER POLIESTER/PU 5L 454",15454374,40,PERDEU,UND,5780,144.5
"TINTA PRETO CADILAC PU MS 2,7L",15454375,25,VENCEU,UND,1950,78
"CATALISADOR PU 900ML",15454376,180,PERDEU,UND,9513,52.85
"THINNER SINT 5L",15454377,60,VENCEU,UND,3060,51
"MASSA POLIESTER 900G",15454378,120,VENCEU,UND,1548,12.9
"TINTA ESMALTE SINT PLUS ALUMINIO OPALESCENTE 3,6L",15454379,20,VENCEU,UND,1098,54.9
"THINNER 18L",15454380,40,VENCEU,UND,3960,99
"PISTOLA DE PINTURA SLIM",15454381,2,VENCEU,UND,1860,930
"TINTA ESMALTE SINT PLUS AMARELO CASE 3,6L",15454382,20,VENCEU,UND,1238,61.9
"TINTA VERMELHO ROSSO SINTETICO 3,6L",15454383,20,VENCEU,UND,1428,71.4
"RESINA POLIESTER C/CAT 900ML",15454384,40,VENCEU,LT,816,20.4
"TINTA LARANJA 3200 MB SINTETICO 3,6L",15454385,6,VENCEU,UND,346.2,57.7
"FITA DUPLA FACE 20M",15454386,30,VENCEU,UND,897,29.9
"ESTOPA PANO - SACO COM 1KG",15454388,50,VENCEU,UND,440,8.8
"DISCO DE LIXA A SECO 6'' 152MM",15454389,1000,VENCEU,UND,1800,1.8
"CATALISADOR PRIMER PU 100ML",15454390,120,VENCEU,UND,900,7.5
"CATALISADOR PU 066 834ML",15454391,60,VENCEU,UND,552,9.2
"LIXA FERRO 40",15454392,350,VENCEU,UND,595,1.7
"FITA CREPE BRANCA 24X50",15454393,200,VENCEU,UND,980,4.9
"MANTA DE FIBRA 1,20M X 0,75CM 500G",15454394,40,VENCEU,UND,788,19.7
"ESTOPA PARA POLIMENTO 400G",15454395,80,VENCEU,UND,688,8.6
"PAPEL PARA ISOLAMENTO 180X45",15454397,60,PERDEU,UND,3600,60
"CERA AUTOMOTIVA 200G",15454398,30,VENCEU,UND,297,9.9
"THINNER PARA RETOQUE 1L",15454399,30,VENCEU,UND,702,23.4
"ESTOPA PARA POLIMENTO - SACO COM 1KG",15454400,80,PERDEU,UND,947.2,11.84
"LIXA D'ÁGUA 80 A 600",15454401,600,PERDEU,UND,2310,3.85
"MASSA ACRÍLICA PARA PEQUENAS CORREÇÕES",15454402,30,VENCEU,UND,357,11.9
"SOLUÇÃO DESENGRAXANTE 900ML",15454403,100,VENCEU,UND,1190,11.9
"TINTA BRANCO SUMMIT PU MS 675M",15454404,120,VENCEU,UND,3228,26.9
"LIXA D'ÁGUA 1200",15454405,1200,VENCEU,UND,6000,5
"FITA CREPE AMARELA 18X40",15454406,400,VENCEU,UND,920,2.3
