descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"COMPRESSOR ODONTOLÓGICO EM FERRO FUNDIDO.",16913494,5,PERDEU,UND,20135,4027
"CONSULTÓRIO ODONTOLÓGICO. CADEIRA ODONTOLÓGICA",16913495,5,DESCLASSIFICADO,UND,134625,26925
"CUBA ULTRASSÔNICA 6 LITROS.",16913496,5,DESCLASSIFICADO,UND,19087.5,3817.5
"Detergente enzimático.",16913497,800,DESCLASSIFICADO,GL,70872,88.59
"DIAPASÃO 128 Hz.",16913498,5,DESCLASSIFICADO,UND,570.75,114.15
"KIT LARINGOSCÓPIO C/ 10 LÂMINAS.",16913507,20,DESCLASSIFICADO,UND,50180,2509
"LUVA LÁTEX NÃO ESTÉRIL P/ PROCEDIMENTO  NÃO CIRÚRGICO – TAMANHO M.",16913508,15000,PERDEU,CX,405000,27
"LUVA LÁTEX NÃO ESTÉRIL P/ PROCEDIMENTO MÉDICO  NÃO CIRÚRGICO – TAMANHO  P.",16913509,12000,PERDEU,CX,324000,27
"LUVA LÁTEX NÃO ESTÉRIL P/ PROCEDIMENTO MÉDICO NÃO CIRÚRGICO – TAMANHO  PP.",16913510,5000,PERDEU,CX,135000,27
"LUVA LÁTEX NÃO ESTÉRIL P/ PROCEDIMENTO MÉDICO NÃO CIRÚRGICO – TAMANHO G.",16913511,5000,PERDEU,CX,135000,27
"Luva Nitrílica não Estéril p/ Procedimento médico  não cirúrgico- tamanho P- cor azul.",16913512,9000,DESCLASSIFICADO,CX,243000,27
"Luva Nitrílica não Estéril p/ Procedimento médico  não cirúrgico- tamanho PP- cor azul.",16913513,2000,PERDEU,CX,54000,27
"Luva Nitrílica não Estéril p/ Procedimento médico não cirúrgico- tamanho G- cor azul.",16913514,6000,PERDEU,CX,162000,27
"LUVA NITRÍLICA NÃO ESTÉRIL P/ PROCEDIMENTO MÉDICO NÃO CIRÚRGICO - TAMANHO M - COR AZUL.",16913515,12000,DESCLASSIFICADO,CX,324000,27
"Papel grau cirúrgico 25cmx100m.",16913516,1000,PERDEU,BOBI,113000,113
"LANCETA P/COLETA DE SANGUE CAPILAR, LAM, RET.1.6 A 2.0MM, INDICADA PARA “TESTE DO PEZINHO”",16913531,10,DESCLASSIFICADO,CX,362.9,36.29
"MÁSCARA ORO-NASAL HOSPITALAR F2 NV2 ADULTO",16913535,90,DESCLASSIFICADO,UND,33030,367
"Máscara Oro-Nasal Hospitalar F2 NV2 INFANTIL",16913536,36,DESCLASSIFICADO,UND,13212,367
"Caixa térmica com termômetro digital 30 litros",16913537,100,DESCLASSIFICADO,UND,58200,582
"Caixa térmica com termômetro digital 12 litros",16913538,100,DESCLASSIFICADO,UND,22200,222
