descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Tênis Unissex - TÊNIS ESCOLAR INFANTIL-",0,2500,PERDEU," ",232250,92.9
"Tênis Unissex - TÊNIS ESCOLAR FUNDAMENTAL",0,19000,PERDEU," ",1993100,104.9
"Camisetas Unissex PROJETOS DIVERSOS -cores e estampas  a serem definidas",0,10000,PERDEU," ",319000,31.9
"Camisas polos",0,2000,PERDEU," ",77800,38.9
"Bermuda feminina",0,3409,PERDEU," ",125792.1,36.9
"Bermuda Masculina",0,15920,PERDEU," ",619288,38.9
"Short saia feminina",0,11665,PERDEU," ",488763.5,41.9
"Calça masculina",0,15920,PERDEU," ",714808,44.9
"CALÇA FEMININA",0,15074,PERDEU," ",676822.6,44.9
JAQUETA,0,23028,PERDEU," ",1517545.2,65.9
"Camiseta manga curta unissex-uniforme",0,69083,PERDEU," ",2203747.7,31.9
