descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Avental de segurança confeccionado em PVC",15322745,280,VENCEU,UND,1786.4,6.38
"Avental de segurança confeccionado em raspa (100x60) CA referência: 13989",15322746,95,VENCEU,UND,2641,27.8
"Avental de Cozinha em Tecido Oxford",15322747,1480,PERDEU,UNI,57246.4,38.68
"Avental impermeável de Napa: Com 70 cm de largura, 1,05 cm de altura. Cor branca.",15322748,460,PERDEU,UND,4006.6,8.71
"AVENTAL Multiuso PVC:  translúcido macio 100% impermeável, sem costura fácil de limpar, miníma porosidade, para locais úmidos, tamanho 110cm x 70 cm",15322749,400,PERDEU,UND,3452,8.63
"Boné árabe com touca.",15322751,680,VENCEU,UND,4583.2,6.74
"Calçado ocupacional tipo BOTA CANO LONGO, com no minimo 28 cm e máximo 30 cm de altura, confeccionado em EVA na cor PRETO OU BRANCA",15322752,300,VENCEU,UND,27870,92.9
"Bota de PVC Tamanho 33 a 48 (CA Referência 40400)",15322753,175,VENCEU,UND,5407.5,30.9
"Botina profissional de segurança Tamanho 34 a 48 (CA Referência: 28511)",15322754,695,VENCEU,UND,27445.55,39.49
"CALCA ANTICHAMA NR-10 1/2 CÓS ELASTICO: Confeccionada em tecido   100%   algodão   com   características   de   retardo   à   chama, fechamento  através  de  botões  e  caseados  com  vista  total  coberta;",15322756,90,VENCEU,UND,8550,95
"Calçado ocupacional de uso profissional tipo tênis (OB), fechado na parte do calcanhar e na parte superior (NR32),",15322757,1365,VENCEU,UND,83947.5,61.5
"Calçado ocupacional de uso profissional tipo tênis (OB), fechado na parte do calcanhar e na parte superior (NR32),",15538886,455,VENCEU,UND,27982.5,61.5
"Calçado ocupacional de uso profissional, tipo bota PVC cano longo. Tamanho 34 a 48 (CA Referência: 38201)",15322758,345,VENCEU,UND,10650.15,30.87
"Calçado ocupacional do tipo Botina de Segurança para  uso eletrecista . Tamanho 37 a 48 (CA Referência: 13808) Cosip",15322759,295,PERDEU,UND,29175.5,98.9
"Calçado ocupacional tipo botina, confeccionado em couro. Tamanho 33 a 48 (CA Referência: 38362)",15322760,375,VENCEU,UND,14962.5,39.9
"Camisa antichama NR 10 Esporte Refletiva c/botões",15322761,70,VENCEU,UND,5537.7,79.11
"Capa de chuva. Tamanho P ao XXG (CA Referência 28450)",15322762,450,VENCEU,UND,6345,14.1
"Caneleira De Proteção Para Roçador - Operador De Máquinas",15322763,170,PERDEU,UND,3549.6,20.88
"Colete de sinalização refletivo tipo X confeccionado em PVC fluorescente na cor laranja ou verde. Possui faixas refletivas.",15322764,310,VENCEU,UND,2504.8,8.08
"Capacete de segurança modelo V-GARD. Com selo de marcação do INMETRO (CA Referência: 365)",15322765,36,PERDEU,UND,2156.4,59.9
"Chapéu de palha aba longa.",15322766,310,VENCEU,UND,3534,11.4
"Cinturão de segurança tipo paraquedista/abdominal. Com selo de marcação do INMETRO (CA Referência: 35520)",15322767,41,PERDEU,UND,2133.64,52.04
"Cone 75cm, preto/amarelo, PVC rígido.",15322768,1110,PERDEU,UND,26640,24
"Creme protetor solar, com repelente, FPS-60 bisnaga 120g. Composiçao:água, carbômer 940, edetato dissódico, álcool cetoestearílico, dióxido de titânio/ dióxido  de silicio/ dimeticona, c12-15 alquil benzoato, homossalato,",15322769,2655,PERDEU,UND,56551.5,21.3
"Creme protetor solar, com repelente, FPS-60 bisnaga 120g. Composiçao:água, carbômer 940, edetato dissódico, álcool cetoestearílico, dióxido de titânio/ dióxido  de silicio/ dimeticona, c12-15 alquil benzoato, homossalato,",15539225,885,PERDEU,UND,19054.05,21.53
"Fita demarcadora de area (tipo fita zabrada) 200 METROS",15322770,850,VENCEU,UND,6001,7.06
"Filtro para máscara P2 HE-1 para máscaras 3M",15322771,65,VENCEU,PAR,1655.55,25.47
"Jardineira de segurança para saneamento, com bota. Tamanho P ao XXG (CA Referência 36004)",15322772,55,VENCEU,UND,3872,70.4
"Luva de algodão pigmentada 4 fios. Tamanho P ao XXG. (CA Referência 10464)",15322773,830,VENCEU,PAR,1245,1.5
"Luva de segurança confeccionada em látex natural. Tamanho P ao XXG (CA Referência 16779).",15322774,95,VENCEU,PAR,198.55,2.09
"Luva cano longo motoqueiro: Membrana de impermeabilização, protetor interno em polipropileno injetado, fecho principal em micro velcro, ajuste elástico com fecho autotravante nos pulsos, elástico nos punhos,",15322775,68,VENCEU,UND,10822.2,159.15
"Luva de segurança confeccionada em raspa. Tamanho P ao XXG (CA Referência: 26381)",15322776,350,VENCEU,PAR,2579.5,7.37
"Luva de segurança confeccionada em vaqueta, cano curto. Tamanho P ao XXG (CA Referência 16072)",15322777,350,VENCEU,PAR,2761.5,7.89
"Luva de segurança confeccionada em vaqueta. Tamanho P ao XXG (CA Referência 29947)",15322778,120,VENCEU,PAR,1293.6,10.78
"Luva de segurança isolante de borracha. Tamanho P ao XXG (CA Referência: 2178). Com selo de marcação do INMETRO",15322779,50,VENCEU,PAR,8250,165
