descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Salgados sortidos Composição: 40 pastéis de carne, 15 risóles de presunto e queijo, 15 coxinhas de frango, 15 bolinhas de queijo, 15 enroladinho de salsicha. Com peso mínimo de 0,10 gramas cada. Acondicionado em bandejas de papelão aluminizado, em perfeitas condições de higiene, coberto com material impermeável. O fornecedor deverá garantir validade do produto, no prazo mínimo de 24 (vinte e quatro) horas após a entrega.",17022016,1905,PERDEU," ",180975,95
"Assados sortidos Composição: 20 empadas de frango, 20 esfiha de carne, 20 esfiha de frango, 20 folheado de palmito, 20 folheado de presunto e queijo. com peso de no mínimo de 0,20gramas cada; Acondicionado em bandejas de papelão aluminizado, em perfeitas condições de higiene, coberto com material impermeável. O fornecedor deverá garantir validade do produto, no prazo mínimo de 24 (vinte e quatro) horas após a entrega",17022016,1665,PERDEU," ",166500,100
"Mine pão de queijo assado",17022016,295,PERDEU," ",13673.25,46.35
"MINE LANCHE 0,50G, EM MINE PÃO DE LEITE",17022016,2650,PERDEU," ",13250,5
"AMENDOIM DESCASCADO",17022016,36,PERDEU," ",720,20
"Doces sortidos Composição: 40 cajuzinho,  30 brigadeiro, 30 beijinho.  Cajuzinho: Leite condensado, amendoim, manteiga, açúcar cristal. Brigadeiro: Leite condensado, manteiga, chocolate em pó e chocolate granulado.  Beijinho: Leite condensado, manteiga, coco ralado, açúcar cristal.  Doces confeccionados de forma caseira, não será aceito doce em lata industrializado.  Tamanho da forminha nº 05. O fornecedor deverá garantir validade do produto, no prazo mínimo de 24 (vinte e quatro) horas após a e",17022016,860,PERDEU," ",73100,85
"BOLO SIMPLES - em fatias com no mínimo 12 pedaços assado, massa básica para bolo de diversos sabores (banana, milho, cenoura, laranja, maracujá, chocolate, fubá, côco, limão, etc). embalado em formas plásticas com tampa Transparente que visam a proteção do produto. O fornecedor deverá garantir validade do produto, no prazo mínimo de 24 (vinte e quatro) horas após a entrega. O peso deverá ser apresentado em forma de etiqueta com codigo de barras e validade.",17022016,1190,PERDEU," ",49980,42
"BOLO RECHEADO - com creme e frutas e com cobertura artesanal, confeccionado com farinha de trigo, leite, açúcar e recheado com cremes e leite condensado e frutas vermelhas, embalado em formas plásticas com tampa Transparente que visam a proteção do produto. O fornecedor deverá garantir validade do produto, no prazo mínimo de 24 (vinte e quatro) horas após a entrega. O peso deverá ser apresentado em forma de etiqueta com codigo de barras e validade.",17022016,990,PERDEU," ",54450,55
"Refrigerante (2 litros)",17022016,1300,PERDEU," ",12077,9.29
"Suco natural 100% laranja embalagem 5 litros",17022016,50,PERDEU," ",2525,50.5
"Suco Natural 100% laranja, embalagem 2 Litros",17022016,980,PERDEU," ",21070,21.5
"Banana Branca: Classificada. Deve apresentar características",17022016,250,PERDEU," ",1250,5
"maça fugi vermelha",17022016,250,PERDEU," ",2040,8.16
"Laranja bergamota",17022016,120,PERDEU," ",660,5.5
"Pera willians",17022016,120,PERDEU," ",900,7.5
"Morango (Bandeja 250g)",17022016,60,PERDEU," ",546,9.1
"Uva: tipo rubi, cachos bem formados",17022016,20,PERDEU," ",290,14.5
"Bombom embalagem de 1 kg",17022016,32,PERDEU," ",1488,46.5
"Doce de amendoim tipo paçoquinha",17022016,1625,PERDEU," ",893.75,0.55
PIRULITO.,17022016,1625,PERDEU," ",650,0.4
"PIPOCA DOCE - Milho canjicado e açúcar refinado especial pacote 30 gramas.",17022016,1625,PERDEU," ",1625,1
"SALADA DE FRUTA REFRIGERADA (PELO MENOS 4 TIPOS DE FRUTAS",17022016,1500,PERDEU," ",6600,4.4
"CAFÉ COM LEITE",17022016,180,PERDEU," ",1674,9.3
"Café puro",17022016,280,PERDEU," ",2604,9.3
"Sache de açúcar com 5g (caixa com 400 unidades)",17022016,75,PERDEU," ",1462.5,19.5
"sache de chá vários sabores",17022016,60,PERDEU," ",264,4.4
"Guardanapo 30cm x 33cmfolha dupla",17022016,720,PERDEU," ",1080,1.5
"prato descartável 15 cm, pc com 10 und.",17022016,13000,PERDEU," ",32500,2.5
"TALHER DESCARTÁVEL, MATERIAL PLÁSTICO, TIPO GARFO, APLICAÇÃO SOBREMESA, COR BRANCA, 50 UNIDADES O PACOTE",17022016,14000,PERDEU," ",42000,3
