descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Tênis Unissex - TÊNIS ESCOLAR INFANTIL-",0,2500,PERDEU," ",232250,92.9
"Tênis Unissex - TÊNIS ESCOLAR FUNDAMENTAL",0,19000,PERDEU," ",1993100,104.9
"Meias tipo colegial unissex",0,46056,PERDEU," ",455954.4,9.9
"Camisetas Unissex PROJETOS DIVERSOS -cores e estampas  a serem definidas",0,10000,PERDEU," ",319000,31.9
"Camisas polos",0,2000,PERDEU," ",77800,38.9
"Bermuda feminina",0,3409,VENCEU," ",89043.08,26.12
"Bermuda Masculina",0,15920,VENCEU," ",438596,27.55
"Short saia feminina",0,11665,VENCEU," ",346217.2,29.68
"Calça masculina",0,15920,VENCEU," ",506415.2,31.81
"CALÇA FEMININA",0,15074,VENCEU," ",479503.94,31.81
JAQUETA,0,23028,VENCEU," ",1075637.88,46.71
"Camiseta manga curta unissex-uniforme",0,69083,VENCEU," ",1560584.97,22.59
