descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Memória 8gb DDR4",14640334,4,PERDEU,UND,667,166.75
"Monitor 19,5”",14640335,2,PERDEU,UND,884,442
"Mouse com fio USB",14640336,30,PERDEU,UND,330,11
"Nobreak 1500VA SMS 115v",14640337,2,PERDEU,UND,2476,1238
"Processador Intel Core i5-10400 2.9 GHz",14640339,2,PERDEU,UND,1940,970
"ssd 240gb a400.",14640340,4,PERDEU,UNID,624,156
"Teclado com fio USB",14640341,30,PERDEU,UND,687,22.9
"KIT DE TECLADO E MOUSE SEM FIO",14640342,30,PERDEU,UND,1440,48
"Fone de ouvido sem fio, in-ear",14640344,20,PERDEU,UND,1018,50.9
"Pen drive 64GB, USB 3.0",14640347,10,PERDEU,UND,450,45
"Fone de ouvido com fio, over-ear",14640348,20,PERDEU,UND,1116,55.8
