descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"BOBINA DE SENHA NUMERICA 00 a 99",6319865,16,370,ATIVO,UNIDADE,3563.1,9.63
"BOBINA DE SENHA NUMERICA 000 a 999",6319866,17,370,ATIVO,UNIDADE,3563.1,9.63
"Borracha (amarradilha) para dinheiro nº 18",6319867,21,2020,ATIVO,PACOTE,4403.6,2.18
"Borracha de vinil para grafite  de apagar",6319868,23,390,ATIVO,UNIDADE,269.1,0.69
"Caderno Universitario capa dura.",6319869,28,970,ATIVO,UNIDADE,5820,6
"Caixa em papelão para arquivo morto;",6319870,30,11700,ATIVO,UNIDADE,25740,2.2
"caneta esferográfica na cor vermelha",6319871,41,156,ATIVO,CAIXA,4680,30
"Cola Branca não toxica 110g",6319872,57,610,ATIVO,UNIDADE,1098,1.8
"Kit Encadernação Capas A4",6319873,107,100,ATIVO,PACOTE,3000,30
"Lápis preto grafite para desenho número 4B,corpo revestido em madeira, redondo. Embalagem com dados de identificação do produto, marca do fabricante, data de fabricação e prazo de validade.",6319874,111,182,ATIVO,UNIDADE,94.64,0.52
"Livro Ata pautado com 100 folhas",6319875,114,910,ATIVO,UNIDADE,9100,10
"Pen drive de 8 Gb, USB 2.0",6319876,147,100,ATIVO,UNIDADE,1500,15
"TINTA PARA CARIMBO",6319877,187,200,ATIVO,UNIDADE,800,4
"Umedecedor dedos 12g, caixa com 12 unidades.",6319878,214,236,ATIVO,CAIXA,4509.96,19.11
