descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"FIAT DUCATO VAN MINIBUS 2.3 Multijet Economy 16v 2014 – 2021",6425372,7,2,ATIVO,UNIDADE,3703.7,66.01
"GM SPIN 1.8L MT LTZ 8v Econo.Flex 2019",6425373,18,1,ATIVO,UNIDADE,1851.85,65.9
"M. BENZ 515 CDI SPRINTER MICROONIBUS 2019",6425374,30,1,ATIVO,UNIDADE,1851.85,66.01
"M. BENZ 515 CDI SPRINTER TCA AMB 2019",6425375,31,2,ATIVO,UNIDADE,3703.7,66
"M. BENZ 516 CDI SPRINTER MICROONIBUS 2021",6425376,32,1,ATIVO,UNIDADE,1851.85,66.01
"RENAULT MASTER FURGÃO L2H2 2.5 16V DIESEL 2020",6425377,42,2,ATIVO,UNIDADE,3703.7,66.01
"VW KOMBI (06-11) STANDARD 1.4 Mi Total Flex 2009 – 2011",6425378,44,3,ATIVO,UNIDADE,5555.55,67.11
"AGRALE/8500 TCA(Nacional) 2010",6425379,48,3,ATIVO,UNIDADE,5555.55,52.5
"AGRALE/MASCA GRANMINI O(Nacional) 2010",6425380,49,2,ATIVO,UNIDADE,3703.7,54.5
"FORD/CARGO 1415(Nacional) 1990",6425381,51,1,ATIVO,UNIDADE,1851.85,53.01
"FORD/CARGO 815 E(Nacional) 2010",6425382,56,2,ATIVO,UNIDADE,3703.7,60.01
"M. BENZ CAIO LO 916.ORE 2023",6425383,67,1,ATIVO,UNIDADE,1851.85,53.5
"VW/NEOBUS THUNDER FR 2022",6425384,82,3,ATIVO,UNIDADE,5555.55,60.01
