descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"CITROEN JUMPER M35LH 23S 2013",6425236,1,1,ATIVO,UNIDADE,3982.4,25
"FIAT SCUDO CARGO TD 2023",6425237,4,1,ATIVO,UNIDADE,3982.3,14.5
"IVECO CAMIN. FURGÃO DAILY 35s14 HDG FURGÃO 2018",6425238,9,1,ATIVO,UNIDADE,3982.3,25
"KIA BONGO K2500 LD 2009",6425239,10,1,ATIVO,UNIDADE,3982.3,25
"KIA BONGO UK2500 HD 2021 - 2022",6425240,11,2,ATIVO,UNIDADE,7964.6,25
"M. BENZ 516 CDI SPRINTER MICROONIBUS 2021",6425241,17,1,ATIVO,UNIDADE,3982.3,12
"AGRALE/8500 TCA(Nacional) 2010",6425242,27,3,ATIVO,UNIDADE,11946.9,13
"FORD/CARGO 1415(Nacional) 1990",6425243,30,1,ATIVO,UNIDADE,3982.3,12
"FORD/CARGO 1723B 2020",6425244,31,1,ATIVO,UNIDADE,3982.3,12
"IVECO TECTOR 17-280 (NACIONAL) 2020",6425245,42,1,ATIVO,UNIDADE,3982.3,11
"SCANIA/K113 TL 6X2 360 (Nacional) 1997",6425246,48,1,ATIVO,UNIDADE,3982.3,12
"VW/17.280 CRM 4X2 4P (Nacional) 2014",6425247,50,1,ATIVO,UNIDADE,3982.3,11
"VW/6.160 DRC 4X2(Nacional) 2019",6425248,53,1,ATIVO,UNIDADE,3982.3,11
"VW/MPOLO SENIOR GVO(Nacional) 2004",6425249,59,1,ATIVO,UNIDADE,3982.3,12
