arquivo,data,descricao,numero,tipo
"b39195b5-a161-4280-9fbc-fd035020be8f",2025-06-27,"Dispensa Eletrônica 013.FMAS.2025 - ar condicionados central de serviços funerários.pdf"," ",Edital
"29b0eb2b-c857-4da2-ad4d-82572e8b29e1",2025-07-08,"1_-_Formalizacao_da_Demanda.pdf"," ","Documento de formalização de demanda"
"055206e6-deee-4e5a-8ec7-5ca05aa60b3c",2025-07-08,"5_-_Termo_de_Referencia.pdf"," ",Outros
"12d8580a-3236-4628-a2a5-e8c06fdeb2c5",2025-07-08,"3_-_Estudo_Tecnico_Prelimina.pdf"," ","Ato que autoriza a Contratação Direta"
"07897e35-df97-478d-81c5-02a32daf8a05",2025-07-08,"2_-_Indicacao_de_Fonte.pdf"," ",Outros
"a255ed68-7bd9-4f14-8aa6-d6e47a436303",2025-07-08,"4_-_Planilha_Orcamentaria_-_Ar_Condicionado.pdf"," ",Outros
"60654bb1-6081-439d-94c4-3bed91d67fd8",2025-07-08,Homologacao.pdf," ","Ato que autoriza a Contratação Direta"
"3c6a2869-cc82-4137-b5d8-806219d9e7ca",2025-07-08,"Prefeitura_Municipal_de_Criciuma_%281%29_assinado.pdf"," ",Outros
"42b7bd4e-82c9-42ca-97b4-17d5d07b0f6b",2025-07-08,"habilita_assinado (1).pdf"," ",Outros
"05a821c8-a29f-46bb-b4f3-be6426ff2539",2025-07-08,"just_de_de_assinado (1).pdf"," ",Outros
