arquivo,data,descricao,numero,tipo
"947822e9-2a53-4b29-a166-47f997ccecf3",2025-10-03,"FORMALIZAÇÃO DE DEMANDA.pdf"," ","DOCUMENTO DE FORMAIZAÇÃO DE DEMANDA"
"672f7e2d-109c-4a20-b778-aa601e87a9e9",2025-10-03,"COMPROVANTE DE PUBLICAÇÃO.pdf"," ","COMPROVANTE DE PUBLICAÇÃO"
"19c62797-08cd-4c6e-88c8-ab40f9affa2a",2025-10-03,"JUSTIFICATIVA DE INEXIGIBILIDADE.pdf"," ","JUSTIFICATIVA DE INEXIGIBILIDADE"
"d82cff5d-9f15-4934-a4b9-3054108d9d67",2025-10-03,"COMPROVAÇÃO DE HABILITAÇÃO.pdf"," ","COMPROVAÇÃO DE HABILITAÇÃO"
"04baa1c7-8120-4ace-a348-a32c595d48cf",2025-10-03,"AUTORIZAÇÃO DA AUTORIDADE COMPETENTE.pdf"," ","AUTORIZAÇÃO DA AUTORIDADE COMPETENTE"
"b4dfc865-9c99-4078-b42c-8a57d3bca996",2025-10-03,"JUSTIFICATIVA DO PREÇO.pdf"," ","JUSTIFICATIVA E PREÇO"
"01d61ed2-104c-4e21-883e-5e1347fa495f",2025-10-03,ETP.pdf," ","RAZAO DE ESCOLHA DO CONTRATADO"
"69f17a54-574f-4852-a8ea-b4c7dea7f970",2025-10-03,"TERMOD E REFERENCIA.pdf"," ","TERMO DE REFERENCIA"
"f31df0a9-1793-4e42-a045-97f424bae0e7",2025-10-03,"Termo de Homologação e Adjudicação (unificado) 21.pdf"," ",HOMOLOGAÇÃO
"945763b5-3cdf-4ee5-8820-ef0cb41c3a8c",2025-10-03,"PARECER JURIDICO - Inexigibilidade nº 021.PMC.2025 - Curso Ciretran_021.pdf"," ","PARECER JURIDICO"
