arquivo,data,descricao,numero,tipo
"9d0562cd-1f34-42a1-838d-6a1032cb014f",2025-11-07,AtaHomologacao.pdf," ","ata de sessão"
"de197205-3409-4106-b32c-5d10f4b1f815",2025-11-07,AtaSessaoFinal.pdf," ","ata de sessão"
"c95d5dde-2830-4ed0-81e4-629b56bc925d",2025-11-07,RelatLance.pdf," ","ata de sessão"
"fd4a9d63-08fe-4875-bc51-ae224a4ec3ea",2025-11-07,AtaAdjudicacao.pdf," ","ata de sessão"
"456962b8-dc8f-4d47-8a1d-f094e845e47b",2025-11-07,PropostasProcesso.pdf," ","ata de sessão"
"1baff3f3-a1ee-4a50-8460-fb81dbeb0d19",2025-11-07,"Dispensa Eletrônica 153.PMC.2025 - móveis controladoria.pdf"," ",EDITAL
"578d96a3-24df-41bc-8ae3-43a5fc406e4c",2025-11-07,"FORMALIZAÇÃO DISPENSA.pdf"," ","DOCUMENTO DE FORMAIZAÇÃO DE DEMANDA"
"f995aed8-0c51-4adf-8605-534a7c1331ac",2025-11-07,"ETP DISPENÇA MOVEIS.pdf"," ","JUSTIFICATIVA DE DISPENSA"
"34ef9975-0f53-490d-89ca-995861565e3a",2025-11-07,"TERMO DE REFERÊNCIA.pdf"," ","TERMO DE REFERENCIA"
"9f57c5e7-652d-4e8c-a50b-bf716d980d69",2025-11-07,"05 - PLANILHA ORÇAMENTÁRIA.pdf"," ","JUSTIFICATIVA E PREÇO"
"5c623d21-aeb0-4bd9-92ee-db54dfcd5b10",2025-11-10,"razao da escolha.pdf"," ","RAZAO DE ESCOLHA DO CONTRATADO"
"7eded616-cfa4-4b58-a61d-e40f6d673f94",2025-11-10,publicação.pdf," ","COMPROVANTE DE PUBLICAÇÃO"
"e3c409a0-2e16-442f-ae2f-6463acb9c461",2025-11-10,habilitação.pdf," ","COMPROVAÇÃO DE HABILITAÇÃO"
"7c580d63-2b4a-4e08-a413-99e092460db3",2025-11-10,homologação.pdf," ","AUTORIZAÇÃO DA AUTORIDADE COMPETENTE"
