descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Bacia na cor branca  13,5 litros",21171185,265,DESCLASSIFICADO,UND,5686.9,21.46
"Bacia na cor branca 34 litros",21171186,170,DESCLASSIFICADO,UND,6796.6,39.98
"Bacia na cor branca 8 litros",21171187,295,DESCLASSIFICADO,UND,3894,13.2
"Bacia redonda lisa em aço inox AISI 304 25cm x 5,3cm",21171188,110,DESCLASSIFICADO,UND,88000,800
"Bacia redonda lisa em aço inox AISI 304 36cm x 9,5cm",21171189,70,DESCLASSIFICADO,UND,56000,800
"Carro de Limpeza MOP 01 Balde",21171223,88,DESCLASSIFICADO,UND,281600,3200
"Carro de Limpeza MOP 01 Balde",21381604,29,DESCLASSIFICADO,UND,92800,3200
"Carro de limpeza MOP dois baldes",21171224,141,DESCLASSIFICADO,UND,338400,2400
"Carro de limpeza MOP dois baldes",21381611,47,DESCLASSIFICADO,UND,112800,2400
"Dispenser plástico de sabonete liquido",21171236,170,DESCLASSIFICADO,UND,8783.9,51.67
"Garrafa termica inox 3,00 litros",21171244,116,DESCLASSIFICADO,UND,74240,640
"Garrafa Térmica 1,8 litro",21171245,406,DESCLASSIFICADO,UND,40421.36,99.56
"Garrafa térmica inox 1,8 litros",21171246,276,DESCLASSIFICADO,UND,35151.36,127.36
"Lixeira 100 litros com tampa e pedal",21171249,259,DESCLASSIFICADO,UND,88515.84,341.76
"Lixeira 100 litros com tampa e pedal",21381617,86,DESCLASSIFICADO,UND,29391.36,341.76
"Tábua em polietileno atóxico  na cor branca",21171269,174,DESCLASSIFICADO,UN,15479.04,88.96
