descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"ANDADOR ADULTO ARTICULADO DOBRÁVEL",17846839,30,DESCLASSIFICADO,UND,6600,220
"ASPIRADOR DE SECREÇÃO ELÉTRICO PORTÁTIL COM BATERIA INTERNA RECARREGÁVEL (12V)",17846840,10,DESCLASSIFICADO,UND,38000,3800
"CADEIRA DE RODAS ADULTO NORMAL",17846842,53,DESCLASSIFICADO,UND,60420,1140
"CADEIRA DE RODAS ADULTO NORMAL",17846885,17,DESCLASSIFICADO,UND,19380,1140
"CADEIRA DE RODAS ADULTO OBESO",17846843,10,DESCLASSIFICADO,UND,12900,1290
"CADEIRA DE RODAS INFANTIL TIPO PADRÃO",17846844,10,DESCLASSIFICADO,UND,20000,2000
"CADEIRAS DE RODAS PARA TETRAPLÉGICO ADULTO",17846847,8,DESCLASSIFICADO,UND,28000,3500
"CADEIRAS DE RODAS PARA TETRAPLÉGICO INFANTIL",17846849,8,DESCLASSIFICADO,UND,28000,3500
"CAMA HOSPITALAR FOWLER, ADULTO",17846850,76,DESCLASSIFICADO,UND,250800,3300
"CAMA HOSPITALAR FOWLER, ADULTO",17846887,24,DESCLASSIFICADO,UND,79200,3300
"CAMA HOSPITALAR FOWLER INFANTIL MANUAL (2 MANIVELAS) COM COLCHÃO ESPUMA DE POLIURETANO D23 10CM REVESTIMENTO IMPERMEÁVEL",17846852,3,DESCLASSIFICADO,UND,10200,3400
