descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"FOGÃO 5 BOCAS",21175396,4,DESCLASSIFICADO,UNI,4513.28,1128.32
"FOGÃO EXTRA 4 QUEIMADORES",21175397,11,VENCEU,UND,15004,1364
"FOGÃO INDUSTRIAL, BAIXA PRESSÃO, COM 04 BOCAS",21175398,44,DESCLASSIFICADO,UND,122536.92,2784.93
"FOGÃO INDUSTRIAL, BAIXA PRESSÃO, COM 04 BOCAS",21175636,14,DESCLASSIFICADO,UND,38989.02,2784.93
"Freezer horizontal",21175402,24,PERDEU,UND,87306.48,3637.77
"Freezer horizontal",21180745,8,PERDEU,UND,29102.16,3637.77
"FREEZER VERTICAL",21175403,51,PERDEU,UND,171766.98,3367.98
"FREEZER VERTICAL",21180747,16,PERDEU,UND,53887.68,3367.98
"LAVADORA DE ROUPAS AUTOMÁTICA",21175406,41,VENCEU,UND,77449,1889
"LAVADORA DE ROUPAS AUTOMÁTICA",21180751,13,VENCEU,UND,24557,1889
"Liquidificador industrial",21175408,61,DESCLASSIFICADO,UND,112435.81,1843.21
"Liquidificador industrial",21180752,20,DESCLASSIFICADO,UND,36864.2,1843.21
"APARELHO MICROONDAS",21175409,96,VENCEU,UNI,57264,596.5
"REFRIGERADOR FROST FREE",21175413,48,DESCLASSIFICADO,UNI,140502.24,2927.13
"REFRIGERADOR FROST FREE",21180756,16,DESCLASSIFICADO,UNI,46834.08,2927.13
"Secadora de Roupas",21175415,2,PERDEU,UNI,4324.64,2162.32
"Ventilador  de  Coluna",21175418,233,DESCLASSIFICADO,UNI,76838.74,329.78
"Ventilador  de  Coluna",21180770,77,DESCLASSIFICADO,UNI,25393.06,329.78
"VENTILADOR DE PAREDE",21175419,228,PERDEU,UNI,67328.4,295.3
"VENTILADOR DE PAREDE",21180772,76,PERDEU,UNI,22442.8,295.3
