descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Lima C Pilot Manual 06 de 21mm",20491251,50,VENCEU,CAR,1200,24
"Lima C Pilot Manual 06 de 25mm",20491252,50,PERDEU,CAR,4250,85
"Lima C Pilot Manual 08 de 21mm",20491253,50,VENCEU,CAR,1100,22
"Lima C Pilot Manual 08 de 25mm",20491254,50,VENCEU,CAR,1100,22
"Lima C Pilot Manual 10 de 21mm",20491255,50,PERDEU,CAR,4250,85
"Lima C Pilot Manual 10 de 25mm",20491256,50,PERDEU,CAR,4250,85
"Lima C Pilot Manual 15 de 21mm",20491257,50,PERDEU,CAR,4250,85
"Lima C Pilot Manual 15 de 25mm",20491258,50,PERDEU,CAR,4250,85
"Lima Reciprocante WaveOne Glider 15-21mm.",20491259,50,VENCEU,CAR,3000,60
"Lima Reciprocante WaveOne Glider 15-25mm",20491260,50,PERDEU,CAR,11000,220
"Lima Reciprocante WaveOne Glider 15-31mm",20491261,20,VENCEU,CAR,1200,60
"Lima Flex-file 1ª série nº 15 a 40 de 21 mm",20491262,60,VENCEU,CX,630,10.5
"Lima Flex-file 1ª série nº 15 a 40 de 25 mm",20491263,60,VENCEU,CX,630,10.5
"Lima Flex-file 1ª série nº 15 a 40 de 31 mm",20491264,10,VENCEU,CX,105,10.5
"Lima Flex-file nº 15 de 21 mm",20491265,70,PERDEU,CX,1750,25
"Lima Flex-file nº 15 de 25 mm",20491266,60,VENCEU,CX,630,10.5
"Lima Flex-file nº 15 de 31 mm",20491267,10,PERDEU,CX,250,25
"Lima Flex-file nº 20 de 21 mm",20491268,50,VENCEU,CX,525,10.5
"Lima Flex-file nº 20 de 25 mm",20491269,50,VENCEU,CX,525,10.5
"Lima Flex-file nº 20 de 31 mm",20491270,1,VENCEU,CX,10.5,10.5
"Lima Niti K-File 1ª série (#15-40) de 25mm.",20491271,50,VENCEU,CXA,850,17
"Lima Niti K-File 1ª série (#15-40) de 31mm",20491272,5,VENCEU,CXS,85,17
"Lima Niti K-File 2ª série (#45-80) de 25mm",20491274,5,VENCEU,CXA,85,17
"Lima Niti K-File 2ª série (#45-80) de 31mm",20491275,5,VENCEU,CXA,85,17
"Lima Reciprocante WAVE ONE GOLD (20.07 -21mm) AMARELA",20491278,120,VENCEU,CX,6600,55
"Lima Reciprocante WAVE ONE GOLD (20.07 -25mm) AMARELA",20491279,120,VENCEU,CX,6600,55
"Lima Reciprocante WAVE ONE GOLD (25.07 - 21mm) VERMELHA",20491280,120,VENCEU,CX,6600,55
"Lima Reciprocante WAVE ONE GOLD (25.07 - 31MM) VERMELHA",20491281,15,VENCEU,CX,855,57
"Lima Reciprocante WAVE ONE GOLD (25.07 - 25mm) VERMELHA",20491282,120,VENCEU,CX,6480,54
"Lima Reciprocante WAVE ONE GOLD (35.06 - 21mm) VERDE",20491283,120,VENCEU,CX,6600,55
"Lima Reciprocante WAVE ONE GOLD (35.06 -25mm) VERDE",20491284,120,VENCEU,CX,6600,55
"Lima Reciprocante WAVE ONE GOLD (35.06 -31mm) VERDE",20491285,15,VENCEU,CX,855,57
"Lima tipo k #06 de 21mm.",20491286,60,VENCEU,CX,539.4,8.99
"Lima tipo k #06 de 25mm.",20491287,60,VENCEU,CX,539.4,8.99
"Lima tipo K  #08 de 21 mm",20491288,60,VENCEU,CX,539.4,8.99
"Lima tipo K #08 de 25 mm.",20491289,80,VENCEU,CX,719.2,8.99
"Lima tipo K #08 de 31 mm.",20491290,70,VENCEU,CX,629.3,8.99
"Lima tipo K #10 de 21 mm.",20491291,80,VENCEU,CX,719.2,8.99
"Lima tipo K #10 de 25 mm",20491292,60,VENCEU,CX,539.4,8.99
"Lima tipo K #10 de 31 mm",20491293,70,VENCEU,CX,630,9
"Lima tipo K 2ª série (45-80 de 21 mm).",20491294,50,VENCEU,CX,449.5,8.99
"Lima tipo K 2ª série (45-80 de 25 mm).",20491295,50,VENCEU,CX,449.5,8.99
"Lima tipo K 2ª série (45-80 de 31 mm).",20491296,30,VENCEU,CX,269.7,8.99
"Limas Rotatórias #40 04.25mm para tratamento de canal",20491297,70,VENCEU,CX,5950,85
"Limas Rotatórias #50 02.25mm",20491298,70,VENCEU,CX,5950,85
"Limas Rotatórias 16.02 25mm",20491299,80,PERDEU,CX,8000,100
"Limas Rotatórias para retratamento #30/09 19mm, #25/08 18mm, #20/07 22mm",20491301,10,PERDEU,CX,1000,100
"Limas Rotatórias SRF-SEQUENCE - 25mm - sortido",20491302,50,PERDEU,CX,5000,100
