descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"TINTA SÓLIDA EM PÓ SOLÚVEL, COM BAIXO ÍNDICE DE MANCHAMENTO (BIM), PARA DEMARCAÇÃO VIÁRIA, NAS CORES BRANCA, AMARELA, AZUL, VERMELHA E PRETA, CONFORME SOLICITAÇÃO DA DTT -  EMBALAGEM COM 14KG",0,350,DESCLASSIFICADO," ",137550,393
"DILUENTE A BASE DE TOLUENO PARA TINTA SÓLIDA E SOLÚVEL, COM BAIXO ÍNDICE DE MANCHAMENTO (BIM), AONDICIONADO EM BALDES COM 18L.",0,130,DESCLASSIFICADO," ",50700,390
"MICROESFERA DE VIDRO",0,100,DESCLASSIFICADO," ",19700,197
"TINTA A BASE DE METIL MONOCOMPONENTE NA COR BRANCA",0,450,DESCLASSIFICADO," ",182250,405
"TINTA A BASE DE METIL MONOCOMPONENTE NA COR AMARELA",0,400,DESCLASSIFICADO," ",162000,405
"TINTA A BASE DE METIL MONOCOMPONENTE NA COR PRETA",0,60,DESCLASSIFICADO," ",24300,405
"TINTA A BASE DE METIL MONOCOMPONENTE NA COR AZUL",0,20,DESCLASSIFICADO," ",8100,405
"TINTA A BASE DE METIL MONOCOMPONENTE NA COR VERMELHA",0,100,DESCLASSIFICADO," ",40500,405
"SOLVENTE DILUENTE PARA TINTA DE DEMARCAÇÃO VIÁRIA, ACONDICIONADO EM BALDES COM 18L",0,250,DESCLASSIFICADO," ",51000,204
"MICROESFERA DE VIDRO, SACO COM 25KG",0,300,DESCLASSIFICADO," ",60300,201
