descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"ABÓBORA CABOTIÁ PICADA DESCASCADA CONGELADA",19541018,3464,PERDEU,KG,32908,9.5
"AIPIM SEM CASCA, CONGELADO",19541013,4240,PERDEU,KG,23320,5.5
Alho,19561657,1203,PERDEU,KG,47037.3,39.1
Alho,19541012,3609,PERDEU,KG,99247.5,27.5
AMEIXA,19561660,4860,VENCEU,KG,48600,10
AMEIXA,19541011,14580,VENCEU,KG,145800,10
"BARRINHAS DE BANANA, SEM ADIÇÃO DE AÇÚCAR",19561673,547,VENCEU,KG,15589.5,28.5
"BARRINHAS DE BANANA, SEM ADIÇÃO DE AÇÚCAR",19541007,1643,VENCEU,KG,46825.5,28.5
"BEBIDA LÁCTEA FERMENTADA COM  POLPA DE FRUTA, SABOR MORANGO",19561678,8552,VENCEU,UND,27794,3.25
"BEBIDA LÁCTEA FERMENTADA COM  POLPA DE FRUTA, SABOR MORANGO",19541005,25657,VENCEU,UND,83385.25,3.25
"BEBIDA LÁCTEA SEM LACTOSE E SEM AÇÚCAR",19541004,5175,DESCLASSIFICADO,UND,26082,5.04
"CAQUI CAFÉ OU FUYU",19561770,5197,VENCEU,KG,20268.3,3.9
"CAQUI CAFÉ OU FUYU",19540992,15591,VENCEU,KG,60804.9,3.9
"EXTRATO DE TOMATE ORGÂNICO",19562030,606,VENCEU,KG,25785.3,42.55
"EXTRATO DE TOMATE ORGÂNICO",19540984,1820,VENCEU,KG,77441,42.55
"Farinha de mandioca Torrada",19540982,2525,DESCLASSIFICADO,KG,15907.5,6.3
"FEIJAO PRETO",19562036,10113,VENCEU,KG,40452,4
"FEIJAO PRETO",19540977,46340,VENCEU,KG,185360,4
"LEITE INTEGRAL EM PÓ INSTANTÂNEO VITAMINADO",19562133,1608,VENCEU,KG,64320,40
"LEITE INTEGRAL EM PÓ INSTANTÂNEO VITAMINADO",19540969,46398,PERDEU,KG,2307836.52,49.74
"MAÇÃ GALA OU FUJI",19562145,7233,VENCEU,KG,31101.9,4.3
"MAÇÃ GALA OU FUJI",19540965,101872,VENCEU,KG,438049.6,4.3
"MAMAO FORMOSA",19540962,5714,VENCEU,KG,32569.8,5.7
"MASSA PARA PIZZA",19562221,1848,VENCEU,KG,57750,31.25
"MASSA PARA PIZZA",19540956,5545,VENCEU,KG,173281.25,31.25
"MELANCIA COMUM",19562225,4962,VENCEU,KG,11908.8,2.4
"MELANCIA COMUM",19540955,14889,VENCEU,KG,35733.6,2.4
"MORANGO, CONGELADO",19562241,1839,VENCEU,KG,53331,29
"MORANGO, CONGELADO",19540953,5519,PERDEU,KG,160382.14,29.06
"OVOS  DE GALINHA",19562249,6168,VENCEU,DZ,36082.8,5.85
"OVOS  DE GALINHA",19540949,71954,PERDEU,DZ,933243.38,12.97
PEPINO,19540945,2339,PERDEU,KG,12116.02,5.18
"PITAYA, POLPA BRANCA",19540944,1723,VENCEU,KG,23088.2,13.4
"POLPA DE FRUTA, SABOR ABACAXI, CONGELADA",19562295,1952,DESCLASSIFICADO,KG,50439.68,25.84
"POLPA DE FRUTA, SABOR ABACAXI, CONGELADA",19540943,5857,DESCLASSIFICADO,KG,151344.88,25.84
"POLPA DE AÇAÍ, CONGELADA",19562284,994,PERDEU,KG,37970.8,38.2
"POLPA DE AÇAÍ, CONGELADA",19540942,2983,PERDEU,KG,113950.6,38.2
"POLPA DE FRUTA, SABOR MARACUJÁ, CONGELADA",19562355,1652,DESCLASSIFICADO,KG,79989.84,48.42
"POLPA DE FRUTA, SABOR MARACUJÁ, CONGELADA",19540941,5793,DESCLASSIFICADO,KG,280497.06,48.42
"SUCO DE LARANJA INTEGRAL",19562398,4142,VENCEU,LIT,79733.5,19.25
"SUCO DE LARANJA INTEGRAL",19540932,27293,VENCEU,LIT,525390.25,19.25
"SUCO DE UVA TINTO INTEGRAL",19562412,2497,VENCEU,LIT,34958,14
"SUCO DE UVA TINTO INTEGRAL",19540931,7492,VENCEU,LIT,104888,14
