descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"ACESS POINT"," ",31,PERDEU,UND,45480.41,1467.11
"CABO HDMI 15 METROS"," ",45,VENCEU,UND,6012.45,133.61
"CABO HDMI 3mt"," ",35,PERDEU,UND,1925,55
"Computador administrativo"," ",258,PERDEU,UN,1541279.1,5973.95
"Computador administrativo"," ",13,VENCEU,UN,64350,4950
"Computador Avançado"," ",17,PERDEU,UN,294042.71,17296.63
"Computador Avançado"," ",4,PERDEU,UN,69186.52,17296.63
"COMPUTADOR INTERMEDIÁRIO COMPLETO"," ",27,PERDEU,UND,205461.09,7609.67
"COMPUTADOR INTERMEDIÁRIO COMPLETO"," ",8,VENCEU,UND,59991.04,7498.88
"FRENTE FALSA 01 U PARA RACK 19"," ",95,PERDEU,MET,2850,30
"GUIA U PARA RACK 19'"," ",55,PERDEU,PÇA,4123.9,74.98
"HD para servidor"," ",14,PERDEU,UN,58786,4199
"HEADSET RJ11"," ",10,PERDEU,UN,1527.7,152.77
"Fone de ouvido do tipo headset"," ",48,DESCLASSIFICADO,UN,13358.4,278.3
"KIT TECLADO E MOUSE"," ",183,PERDEU,UND,30932.49,169.03
"KIT DE TECLADO E MOUSE SEM FIO"," ",43,PERDEU,UND,10877.71,252.97
"Licença Sistema Operacional"," ",42,VENCEU,UN,63840,1520
"Licença Sistema Operacional"," ",13,VENCEU,UN,19630,1510
"SSD M.2 NVME 240GB"," ",75,PERDEU,UN,18492,246.56
"SSD SATA 240GB"," ",95,PERDEU,UN,18777.7,197.66
Microfone," ",15,PERDEU,UND,6805.8,453.72
Monitor.," ",59,PERDEU,UND,96351.72,1633.08
Monitor.," ",19,PERDEU,UND,31028.52,1633.08
"NOBREAK 1500 VA"," ",79,PERDEU,UN,115787.93,1465.67
"NOBREAK 1500 VA"," ",26,PERDEU,UN,38107.42,1465.67
"NOBREAK 600VA"," ",63,PERDEU,UND,41370.21,656.67
"Notebook Avançado"," ",6,PERDEU,UN,60114,10019
"Notebook Avançado"," ",2,PERDEU,UN,20038,10019
"NOTEBOOK BÁSICO"," ",28,PERDEU,UN,114482.76,4088.67
"NOTEBOOK BÁSICO"," ",9,PERDEU,UN,36798.03,4088.67
"CABO PATCHCORD 1,5 M."," ",340,PERDEU,PÇA,18700,55
"Patch Cord 2,5 m"," ",230,PERDEU,M,15485.9,67.33
"PATCH PANEL 24 PORTAS"," ",47,PERDEU,UN,25725.92,547.36
PROJETOR.," ",12,PERDEU,UND,60971.64,5080.97
PROJETOR.," ",4,PERDEU,UND,20323.88,5080.97
"rack 19 ,470MM, de parede 16U,Com porta frontal acrílica"," ",24,PERDEU,UND,19903.92,829.33
"REGUA DE TOMADA DE 1U COM 10 TOMADAS PARA RACK 19"," ",13,PERDEU,UND,1724.45,132.65
"Roteador WiFi"," ",36,PERDEU,UND,25376.76,704.91
Scanner," ",12,PERDEU,UNID,53369.28,4447.44
"SUITE DE APLICAÇÕES DE PRODUTIVIDADE PARA ESCRITÓRIO"," ",20,PERDEU,UND,35620,1781
"SWITCH 24 PORTAS"," ",51,PERDEU,UND,146348.58,2869.58
"SWITCH 24 PORTAS"," ",16,PERDEU,UND,45913.28,2869.58
"SWITCH 48 PORTAS"," ",23,PERDEU,UNI,111243.64,4836.68
"SWITCH 48 PORTAS"," ",7,PERDEU,UNI,33856.76,4836.68
"tablet avançado"," ",7,PERDEU,UN,23696.12,3385.16
"TABLET BÁSICO"," ",53,PERDEU,UN,102376.39,1931.63
"TABLET BÁSICO"," ",17,PERDEU,UN,32837.71,1931.63
"Teclado Numérico"," ",20,PERDEU,UND,1003.4,50.17
"TV 43"," ",31,PERDEU,UN,66531.27,2146.17
"TV 65"," ",33,PERDEU,UN,120823.56,3661.32
"TV 65"," ",10,PERDEU,UN,36613.2,3661.32
"WEBCAM FULL HD"," ",33,VENCEU,UND,17721,537
