descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Mesa com armário lateral em L",18987635,2,PERDEU," ",3689.8,1844.9
"MESA DE ESCRITÓRIO RETANGULAR",18987635,1,PERDEU," ",71488,71488
"Gaveteiro com 04 gavetas",18987635,1,PERDEU," ",728.95,728.95
"armário credenza 02 portas",18987635,1,PERDEU," ",1013.36,1013.36
"Cadeira de escritorio mod.presidente",18987635,3,PERDEU," ",2696.97,898.99
"POLTRONA ESTOFADA INDIVIDUAL",18987635,6,PERDEU," ",2993.28,498.88
"CADEIRA DE ESCRITÓRIO FIXA",18987635,3,PERDEU," ",1436.64,478.88
"CADEIRA DE ESCRITÓRIO",18987635,4,PERDEU," ",1995.52,498.88
"Mesa de reuniao redonda em MDF 30mm",18987635,1,PERDEU," ",764.88,764.88
"BALCÃO 2 PORTAS",18987635,2,PERDEU," ",1569.68,784.84
"cadeira eames",18987635,4,PERDEU," ",795.92,198.98
"mesa refeitorio 1,75m",18987635,1,PERDEU," ",853.99,853.99
"Armário 4 portas",18987635,1,PERDEU," ",1899.99,1899.99
"CESTO LIXO ARAMADO ESCRITORIO",18987635,3,PERDEU," ",149.7,49.9
