descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
Quepe,19562446,163,DESCLASSIFICADO,UND,26569,163
"Sapato masculino, fechado em couro",19562455,319,PERDEU,PAR,87725,275
"Bota masculino confeccionada em couro",19562456,98,PERDEU,PAR,19404,198
"Sapato feminino estilo boneca",19562457,350,PERDEU,PAR,103950,297
"Sandália Franciscana em couro",19562458,46,PERDEU,PAR,15594,339
"Meia Masculina",19562460,298,VENCEU,PAR,2056.2,6.9
"Meião de Jogador",19562461,114,VENCEU,PAR,1824,16
"Meia de Listra",19562462,6,VENCEU,PAR,420,70
"Bota de Borracha",19562463,28,PERDEU,PAR,3080,110
"Bota feminina em couro",19562464,4,DESCLASSIFICADO,PAR,1900,475
"Sandália rasteirinha em couro",19562465,30,VENCEU,PAR,7350,245
"Meia calça fio 15 adulto",19562466,276,VENCEU,UND,11316,41
"Meia calça de listras",19562467,8,VENCEU,UND,1176,147
"Meia arrastão",19562468,12,VENCEU,UND,792,66
"Meia Fina fio 20 três quartos",19562469,76,VENCEU,PAR,2150.8,28.3
"Kit de acessórios para cabelo  e maquiagem",19562470,16,PERDEU,KIT,8448,528
"Casquete Fascinator",19562471,24,VENCEU,UND,5736,239
"Caixa de Presente em madeira",19562500,3,VENCEU,UND,5346,1782
"Gorro de Natal",19562502,200,VENCEU,UND,11600,58
"Cavalete em madeira 1,80m x 0,80m",19562504,6,VENCEU,UND,10530,1755
