descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Bola de Basquete mirim",19057653,100,PERDEU,UN,9900,99
"BOLA DE BASQUETE BABY",19057654,100,PERDEU,UND,9900,99
"Bola de Basquete OFICIAL",19057655,100,INABILITADO,UN,4800,48
"BOLA DE BORRACHA Nº 14",19057656,400,PERDEU,UND,23600,59
"Bola de Borracha nº 08",19057657,500,PERDEU,UND,24500,49
"Bola de Borracha nº 10",19057658,400,PERDEU,UND,19600,49
"BOLA DE BORRACHA  Nº 12",19057659,500,PERDEU,UND,24500,49
"BOLA DE FUTSAL",19057660,520,INABILITADO,UND,25948,49.9
"BOLA DE HANDEBOL",19057661,200,INABILITADO,UND,10180,50.9
"Bola de voleibol.",19057723,130,INABILITADO,UND,6617,50.9
"Bola de voleibol.",19057663,390,INABILITADO,UND,21021,53.9
