descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"ADAPTADOR DE LÁPIS COM ENCAIXE DE DEDO",22090115,1000,VENCEU,UND,5150,5.15
"ADAPTADOR DE LÁPIS DE EVA",22090116,1000,VENCEU,POT,12200,12.2
"BORRACHA BRANCA COM CINTA",22090117,200,VENCEU,CX,3100,15.5
"BORRACHA ERGONÔMICA HEXAGONAL",22090118,1500,PERDEU,CX,67110,44.74
"COLA BASTÃO GIRO FÁCIL 8 GRAMAS",22090119,200,PERDEU,CX,9128,45.64
"GIZ DE CERA ENCAIXA NO DEDO",22090121,1000,VENCEU,CX,14800,14.8
"HIDROCOR BIG PONTA QUE NÃO AFUNDA",22090122,2000,PERDEU,CX,69840,34.92
"LÁPIS 12 CORES BIG 17,5 CM TRIANGULAR COM APONTADOR",22090123,2000,PERDEU,CX,22780,11.39
"LÁPIS DE COR BIG APAGÁVEL",22090124,1500,VENCEU,CX,28575,19.05
"LÁPIS GRAFITE HB CORPO PRETO BIG TRIANGULAR",22090125,200,VENCEU,CX,5666,28.33
"PINCEL COM PEGA ERGONÔMICA PONTA REDONDA",22090126,1000,PERDEU,CX,19700,19.7
"TESOURA ESCOLAR DUPLA TANDEM",22090127,1500,PERDEU,UND,11400,7.6
