descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"AÇUCAR BRANCO REFINADO",19561653,6504,DESCLASSIFICADO,KG,33690.72,5.18
"AÇUCAR BRANCO REFINADO",19541015,19515,DESCLASSIFICADO,KG,101087.7,5.18
"Arroz Branco",19541010,3132,DESCLASSIFICADO,KG,17476.56,5.58
"Arroz parboilizado",19561665,14678,DESCLASSIFICADO,KG,79848.32,5.44
"Arroz parboilizado",19541009,105762,DESCLASSIFICADO,KG,575345.28,5.44
"CAFÉ TORRADO MOÍDO, TRADICIONAL.",19561767,1171,DESCLASSIFICADO,KG,79967.59,68.29
"CAFÉ TORRADO MOÍDO, TRADICIONAL.",19540993,5942,DESCLASSIFICADO,KG,405779.18,68.29
Colorifico.,19540988,2549,DESCLASSIFICADO,KG,44225.15,17.35
"DOCE DE FRUTAS SORTIDO",19540986,2343,DESCLASSIFICADO,KG,40369.89,17.23
"DOCE DE LEITE -",19540985,2851,DESCLASSIFICADO,KG,59329.31,20.81
"Farinha de mandioca Torrada",19540982,2525,DESCLASSIFICADO,KG,15882.25,6.29
"Farinha de trigo.",19540979,11593,DESCLASSIFICADO,KG,54487.1,4.7
"FEIJAO PRETO",19562036,10113,DESCLASSIFICADO,KG,79892.7,7.9
"FEIJAO PRETO",19540977,46340,DESCLASSIFICADO,KG,366086,7.9
"MASSA PARA PIZZA",19562221,1848,DESCLASSIFICADO,KG,57916.32,31.34
"MASSA PARA PIZZA",19540956,5545,DESCLASSIFICADO,KG,173780.3,31.34
"OLEO DE SOJA",19562247,4430,DESCLASSIFICADO,UND,37743.6,8.52
"OLEO DE SOJA",19540951,13291,DESCLASSIFICADO,UND,113239.32,8.52
"OVOS  DE GALINHA",19562249,6168,PERDEU,DZ,79937.28,12.96
"OVOS  DE GALINHA",19540949,71954,PERDEU,DZ,932523.84,12.96
"SUCO DE UVA TINTO INTEGRAL",19562412,2497,DESCLASSIFICADO,LIT,47817.55,19.15
"SUCO DE UVA TINTO INTEGRAL",19540931,7492,DESCLASSIFICADO,LIT,143471.8,19.15
