descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Tênis Unissex -modelo 21 ao 33",0,10580,PERDEU," ",1268542,119.9
"Tênis Unissex -modelo 34 ao 43",0,10636,PERDEU," ",1275256.4,119.9
"Meias tipo colegial unissex",0,44002,PERDEU," ",875639.8,19.9
"Camisetas Unissex PROJETOS DIVERSOS -cores e estampas  a serem definidas",0,6200,PERDEU," ",154380,24.9
"Camisas polos",0,500,PERDEU," ",27500,55
"Bermuda feminina",0,3200,PERDEU," ",89472,27.96
"Bermuda Masculina",0,8759,PERDEU," ",262507.23,29.97
"Short saia feminina",0,6904,PERDEU," ",238188,34.5
"Calça masculina",0,8884,PERDEU," ",309962.76,34.89
"CALÇA FEMININA",0,8490,PERDEU," ",296216.1,34.89
JAQUETA,0,19922,PERDEU," ",1074194.24,53.92
"Camiseta manga curta unissex-uniforme",0,36588,PERDEU," ",910309.44,24.88
