descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Bandeja em Inox 49 x 33 x 2,2",21171190,97,PERDEU,UND,15665.5,161.5
"Bandeja retangular lisa em aço inox AISI 304  30cm x 25 cm x 4 cm",21171192,70,DESCLASSIFICADO,UND,7997.5,114.25
"Bandeja retangular lisa em aço inox AISI 304 35cm x 25 cm x 4cm",21171193,70,DESCLASSIFICADO,UND,7826,111.8
"CANECA ESCOLAR capacidade  300 ml.",21171218,10250,PERDEU,UND,66830,6.52
"Colher Grande Inox",21171228,230,PERDEU,UND,7302.5,31.75
"Colher de cafe",21171229,3582,DESCLASSIFICADO,UND,18733.86,5.23
"COLHER DE MESA INOX",21171230,5285,PERDEU,UN,37047.85,7.01
"Faca de Mesa De Inox",21171240,3263,PERDEU,UND,29986.97,9.19
"Faca de pâo",21171241,158,PERDEU,UND,4003.72,25.34
"Garfo Mesa De Inox",21171243,5280,PERDEU,UND,24816,4.7
"PEGADOR DE SALADA",21171260,127,DESCLASSIFICADO,UND,2413,19
"Prato fundo em polipropileno",21171264,200,PERDEU,UNI,980,4.9
