descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Bandeja em polietileno 51x30x9,5 cm",7829186,8,740,ATIVO,UNIDADE,17760,24
"Bandeja retangular lisa em aço inox AISI 304  30cm x 25 cm x 4 cm",7829187,9,70,ATIVO,UNIDADE,7980,114
"Caçarola de alumínio número 28 aprox. 8,5 litros.",7829188,13,149,ATIVO,UNIDADE,10365.93,69.57
"Cadeira de plástico cor branca, com braço",7829189,17,1530,ATIVO,UNIDADE,97751.7,63.89
"Cadeira de plástico cor branca, com braço",7829190,18,510,ATIVO,UNIDADE,45390,89
"Caixa organizadora média 20,39 litros  em polipropileno",7829191,27,563,ATIVO,UNIDADE,23251.9,41.3
"Caixa plástica multiuso com tampa e com trava 1,5 litros",7829192,29,890,ATIVO,UNIDADE,8900,10
"CANECA ESCOLAR capacidade  300 ml.",7829193,42,10250,ATIVO,UNIDADE,66625,6.5
"Carro de Bandeja Triplex",7829194,45,77,ATIVO,UNIDADE,126665,1645
"Carro de Bandeja Triplex",7829195,46,25,ATIVO,UNIDADE,41125,1645
"Carro de Carga com 2 rodas",7829196,47,23,ATIVO,UNIDADE,10235,445
"Carro de limpeza MOP dois baldes",7829197,50,141,ATIVO,UNIDADE,109275,775
"COLHER DE MESA INOX",7829198,57,5285,ATIVO,UNIDADE,26953.5,5.1
"Colher  grande De polietileno,  com no mínimo 40 cm",7829199,58,68,ATIVO,UNIDADE,4216,62
"Cortador Picador de legumes",7829200,61,43,ATIVO,UNIDADE,8634.4,200.8
"DESCASCADOR DE LEGUMES/FRUTA",7829201,62,130,ATIVO,UNIDADE,2184,16.8
"Dispenser plástico de sabonete liquido",7829202,63,170,ATIVO,UNIDADE,8780.5,51.65
"Faca tipo açougueiro 20cm de lâmina 8",7829203,65,173,ATIVO,UNIDADE,4480.7,25.9
"Faca para cozinha 7",7829204,66,163,ATIVO,UNIDADE,8476,52
"Faca de Mesa De Inox",7829205,67,3263,ATIVO,UNIDADE,26593.45,8.15
"Garfo Mesa De Inox",7829219,70,5280,ATIVO,UNIDADE,21912,4.15
"Garrafa Térmica 1,8 litro",7829220,72,406,ATIVO,UNIDADE,24766,61
"Jarra Plástica Transparente De 2 Litros Com Tampa",7829221,75,451,ATIVO,UNIDADE,10824,24
"Luva para forno  50 cm mão de gato",7829222,78,95,ATIVO,UNIDADE,5595.5,58.9
"Palete modular 25cmx50cmx2,5cm",7829223,81,5251,ATIVO,UNIDADE,62434.39,11.89
"Palete modular 25cmx50cmx2,5cm",7829224,82,1750,ATIVO,UNIDADE,21000,12
"Palete modular 25cmx50cmx2,5cm  Plástico CINZA",7829225,83,3750,ATIVO,UNIDADE,89587.5,23.89
"Panela de pressão  20,8 Litros",7829226,89,83,ATIVO,UNIDADE,49551,597
"PEGADOR DE SALADA",7829227,90,127,ATIVO,UNIDADE,2495.55,19.65
"Pote Plástico 6 litros para açúcar",7829228,92,96,ATIVO,UNIDADE,1728,18
"Pote Plástico 6 Litros para café",7829229,93,96,ATIVO,UNIDADE,1545.6,16.1
"Prato fundo em polipropileno",7829230,94,200,ATIVO,UNIDADE,986,4.93
"Prato fundo de vidro",7829231,95,10170,ATIVO,UNIDADE,41697,4.1
"Saleiro de parede  Inox",7829232,97,84,ATIVO,UNIDADE,7560,90
